         2277085773 function calls (2252345736 primitive calls) in 8291.727 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002 8291.745 8291.745 {built-in method builtins.exec}
        1    4.528    4.528 8291.744 8291.744 <string>:2(<module>)
        2    3.040    1.520 7390.681 3695.341 frame.py:4065(apply)
        2    3.450    1.725 7387.641 3693.821 frame.py:4182(_apply_standard)
   145113   18.806    0.000 6903.623    0.048 tweetProcessor.py:65(process)
   145113   26.449    0.000 3872.937    0.027 tweetProcessor.py:399(score)
   668209   23.827    0.000 1807.101    0.003 ops.py:803(wrapper)
   668209    5.568    0.000 1551.753    0.002 ops.py:749(na_op)
   576569    3.161    0.000 1528.002    0.003 ops.py:727(_comp_method_OBJECT_ARRAY)
   576569 1412.209    0.002 1521.198    0.003 {pandas.lib.scalar_compare}
   145114    2.621    0.000 1254.458    0.009 tweetProcessor.py:292(correct)
   290226 1249.513    0.004 1249.513    0.004 {method 'findall' of '_regex.Pattern' objects}
     7567    0.462    0.000 1181.205    0.156 tweetProcessor.py:172(translate_online)
     7401    0.052    0.000 1012.037    0.137 request.py:140(urlopen)
     7401    0.149    0.000 1011.985    0.137 request.py:508(open)
     7401    0.042    0.000 1010.788    0.137 request.py:536(_open)
    14802    0.043    0.000 1010.746    0.068 request.py:497(_call_chain)
     7401    0.060    0.000 1010.687    0.137 request.py:1345(http_open)
     7401    0.318    0.000 1010.627    0.137 request.py:1276(do_open)
     7401    0.148    0.000  996.961    0.135 client.py:1287(getresponse)
     7401    0.277    0.000  996.296    0.135 client.py:290(begin)
     7401    0.328    0.000  989.981    0.134 client.py:257(_read_status)
   111697    0.508    0.000  989.910    0.009 {method 'readline' of '_io.BufferedReader' objects}
     7401    0.076    0.000  989.402    0.134 socket.py:572(readinto)
     7401  989.285    0.134  989.285    0.134 {method 'recv_into' of '_socket.socket' objects}
        2    0.775    0.388  896.246  448.123 groupby.py:633(apply)
        2    0.006    0.003  895.470  447.735 groupby.py:696(_python_apply_general)
        2    0.538    0.269  745.180  372.590 groupby.py:1585(apply)
  4065599   16.794    0.000  723.918    0.000 __init__.py:1414(_log)
   290226   10.600    0.000  652.287    0.002 tweetProcessor.py:240(tag)
   290226   34.258    0.000  634.545    0.002 treetaggerwrapper.py:1240(tag_text)
