         1119495072 function calls (1107703749 primitive calls) in 3770.104 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      4/1    0.001    0.000 3770.111 3770.111 {built-in method builtins.exec}
        1    0.149    0.149 3770.110 3770.110 <string>:2(<module>)
        2    0.741    0.370 3390.000 1695.000 frame.py:4065(apply)
        2    1.525    0.762 3389.259 1694.629 frame.py:4182(_apply_standard)
    68125    9.253    0.000 3177.595    0.047 tweetProcessor.py:65(process)
    68125   12.070    0.000 1561.021    0.023 tweetProcessor.py:395(score)
   322694   10.132    0.000  734.991    0.002 ops.py:803(wrapper)
    68126    1.269    0.000  698.495    0.010 tweetProcessor.py:288(correct)
     3792    0.233    0.000  667.766    0.176 tweetProcessor.py:171(translate_online)
   322694    2.269    0.000  623.543    0.002 ops.py:749(na_op)
   272976    1.371    0.000  612.773    0.002 ops.py:727(_comp_method_OBJECT_ARRAY)
   272976  559.503    0.002  609.721    0.002 {pandas.lib.scalar_compare}
     3710    0.026    0.000  586.460    0.158 request.py:140(urlopen)
     3710    0.077    0.000  586.422    0.158 request.py:508(open)
     3710    0.019    0.000  585.815    0.158 request.py:536(_open)
     7420    0.022    0.000  585.795    0.079 request.py:497(_call_chain)
     3710    0.050    0.000  585.765    0.158 request.py:1345(http_open)
     3710    0.156    0.000  585.716    0.158 request.py:1276(do_open)
     3710    0.075    0.000  579.662    0.156 client.py:1287(getresponse)
    55996    0.224    0.000  579.494    0.010 {method 'readline' of '_io.BufferedReader' objects}
     3710    0.127    0.000  579.334    0.156 client.py:290(begin)
     3711    0.039    0.000  579.270    0.156 socket.py:572(readinto)
     3711  579.211    0.156  579.211    0.156 {method 'recv_into' of '_socket.socket' objects}
     3710    0.145    0.000  576.560    0.155 client.py:257(_read_status)
   136250  455.537    0.003  455.537    0.003 {method 'findall' of '_regex.Pattern' objects}
  2424576    9.325    0.000  417.236    0.000 __init__.py:1414(_log)
        2    0.363    0.182  379.857  189.929 groupby.py:633(apply)
        2    0.002    0.001  379.494  189.747 groupby.py:696(_python_apply_general)
  4473820    9.253    0.000  358.104    0.000 __init__.py:1279(debug)
        2    0.260    0.130  310.938  155.469 groupby.py:1585(apply)
   136250    5.100    0.000  306.644    0.002 tweetProcessor.py:239(tag)
   136250   16.722    0.000  298.070    0.002 treetaggerwrapper.py:1240(tag_text)
  2424576    6.373    0.000  285.039    0.000 __init__.py:1439(handle)
  2424576   11.341    0.000  276.584    0.000 __init__.py:1493(callHandlers)
   818939    8.603    0.000  272.913    0.000 frame.py:2035(__getitem__)
  2424668    8.046    0.000  265.243    0.000 __init__.py:845(handle)
  2424584    7.438    0.000  248.744    0.000 handlers.py:63(emit)
  1290615   19.554    0.000  244.813    0.000 series.py:135(__init__)
        2    0.000    0.000  242.749  121.375 groupby.py:4054(fast_apply)
        2    0.456    0.228  242.455  121.227 {pandas.lib.apply_frame_axis0}
    24859    0.042    0.000  226.710    0.009 <string>:6(<lambda>)
    24859    1.136    0.000  226.668    0.009 <ipython-input-2-11ad5caad0fb>:9(propagate_score)
   272979    3.525    0.000  218.508    0.001 frame.py:2078(_getitem_array)
   272982    6.163    0.000  190.075    0.001 generic.py:1650(take)
  4000694  161.290    0.000  161.290    0.000 {method 'readline' of '_io._IOBase' objects}
    68127    0.582    0.000  158.394    0.002 merge.py:1396(concat)
   272982    5.355    0.000  155.101    0.001 internals.py:3943(take)
    68125    4.337    0.000  153.668    0.002 tweetProcessor.py:133(find_relevant_words)
    80111    4.771    0.000  138.867    0.002 tweetProcessor.py:262(candidate_reference)
   365968    3.572    0.000  134.532    0.000 internals.py:3813(reindex_indexer)
  1518334    7.795    0.000  133.389    0.000 series.py:600(__getitem__)
   569390    4.024    0.000  128.812    0.000 frame.py:252(__init__)
  4849252    5.871    0.000  124.209    0.000 __init__.py:822(format)
  2424584    3.224    0.000  122.237    0.000 __init__.py:1056(emit)
  2424668    7.575    0.000  119.291    0.000 __init__.py:975(emit)
  4849252   19.696    0.000  118.333    0.000 __init__.py:557(format)
  2424584   12.785    0.000  118.128    0.000 handlers.py:177(shouldRollover)
179924251/179924097   72.441    0.000  107.762    0.000 {built-in method builtins.isinstance}
  2424576    6.463    0.000   96.428    0.000 __init__.py:1399(makeRecord)
   999221   10.160    0.000   93.730    0.000 series.py:2817(_sanitize_array)
    49716    0.757    0.000   92.267    0.002 frame.py:3852(first_valid_index)
    68125    0.564    0.000   90.978    0.001 series.py:1530(append)
1053991/740098   20.302    0.000   90.445    0.000 base.py:142(__new__)
  2424576   43.585    0.000   89.965    0.000 __init__.py:246(__init__)
  1050748   16.251    0.000   88.397    0.000 algorithms.py:1010(take_nd)
    68127    3.085    0.000   85.671    0.001 merge.py:1460(__init__)
   663826    5.830    0.000   81.948    0.000 internals.py:1001(take_nd)
    92984    0.566    0.000   80.221    0.001 frame.py:5391(_arrays_to_mgr)
   448454    1.950    0.000   79.735    0.000 __init__.py:1291(info)
 21005361   32.877    0.000   79.404    0.000 dtypes.py:74(is_dtype)
241908/162787    1.178    0.000   74.778    0.000 indexing.py:1302(__getitem__)
    68127    1.957    0.000   72.970    0.001 frame.py:349(_init_dict)
   272984    1.833    0.000   72.933    0.000 internals.py:3848(<listcomp>)
    49716    0.822    0.000   72.709    0.001 frame.py:4846(count)
    68127    1.350    0.000   72.141    0.001 merge.py:1599(get_result)
     3709    0.184    0.000   71.958    0.019 __init__.py:87(__init__)
   136250    4.809    0.000   71.629    0.001 treetaggerwrapper.py:1454(_prepare_text)
     3709    0.030    0.000   71.498    0.019 __init__.py:285(_feed)
     3709    0.068    0.000   71.463    0.019 _html5lib.py:61(feed)
   241218    2.958    0.000   70.649    0.000 generic.py:2224(reindex)
   598795    5.025    0.000   69.246    0.000 internals.py:2745(__init__)
        2    0.000    0.000   68.554   34.277 groupby.py:3301(_wrap_applied_output)
        2    0.025    0.012   68.554   34.277 groupby.py:845(_concat_objects)
     3709    0.028    0.000   67.170    0.018 html5parser.py:223(parse)
     3709    0.048    0.000   67.141    0.018 html5parser.py:80(_parse)
  4849168   17.986    0.000   64.755    0.000 __init__.py:490(formatTime)
     3709    2.625    0.001   64.030    0.017 html5parser.py:152(mainLoop)
    24861    0.317    0.000   63.654    0.003 internals.py:4807(concatenate_block_managers)
    68125    0.795    0.000   63.388    0.001 series.py:646(_get_with)
   969818    4.627    0.000   61.656    0.000 series.py:2834(_try_cast)
    68125    0.336    0.000   58.607    0.001 indexing.py:74(__getitem__)
  1518334    9.695    0.000   58.316    0.000 base.py:2146(get_value)
    68125    0.614    0.000   58.201    0.001 indexing.py:999(_getitem_axis)
  2424668    9.249    0.000   56.351    0.000 __init__.py:964(flush)
    29405    0.056    0.000   55.775    0.002 <string>:3(<lambda>)
    29405    0.731    0.000   55.719    0.002 <ipython-input-2-11ad5caad0fb>:1(propagate_candidates)
  2609655   14.708    0.000   54.449    0.000 internals.py:2649(make_block)
    68125    1.558    0.000   54.323    0.001 indexing.py:1034(_getitem_iterable)
   216359    1.018    0.000   51.682    0.000 series.py:2360(reindex)
    24861    0.778    0.000   50.770    0.002 internals.py:4823(<listcomp>)
272979/272978    3.163    0.000   49.161    0.000 <frozen importlib._bootstrap>:958(_find_and_load)
  9738357    8.467    0.000   47.819    0.000 common.py:102(is_categorical_dtype)
   702777   19.034    0.000   47.288    0.000 internals.py:2841(_rebuild_blknos_and_blklocs)
    99446    0.452    0.000   46.697    0.000 internals.py:4910(concatenate_join_units)
   421217    1.758    0.000   46.651    0.000 series.py:252(from_array)
    68125    0.443    0.000   46.336    0.001 tweetProcessor.py:383(remove_emojis)
956894/758030    0.958    0.000   46.114    0.000 missing.py:27(isnull)
    49716    0.188    0.000   46.033    0.001 missing.py:186(notnull)
956894/758030    2.483    0.000   45.300    0.000 missing.py:48(_isnull_new)
   124292    2.097    0.000   45.196    0.000 internals.py:2978(apply)
  6042352    5.835    0.000   43.000    0.000 common.py:69(is_datetimetz)
    79121    1.334    0.000   42.151    0.001 indexing.py:894(_getitem_lowerdim)
   153692    1.028    0.000   41.877    0.000 indexing.py:1447(_getitem_axis)
  1065020    5.063    0.000   41.233    0.000 base.py:1643(equals)
    92984    0.716    0.000   40.994    0.000 internals.py:4259(create_block_manager_from_arrays)
  9127495    6.572    0.000   39.819    0.000 common.py:89(is_datetime64tz_dtype)
  1387322   38.216    0.000   39.738    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
    68125    1.883    0.000   39.491    0.001 tweetProcessor.py:145(filter_words_only)
   188704   14.681    0.000   39.420    0.000 treetaggerwrapper.py:1593(_prepare_part)
  2424584   39.219    0.000   39.219    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
    68125    0.338    0.000   37.818    0.001 series.py:2376(reindex_axis)
   148238    1.037    0.000   37.650    0.000 frame.py:4223(<genexpr>)
58330531/48108387   24.597    0.000   37.401    0.000 {built-in method builtins.len}
  1290615    6.860    0.000   37.112    0.000 internals.py:4031(__init__)
   545959    1.478    0.000   37.095    0.000 frame.py:2061(_getitem_column)
272979/272978    2.434    0.000   37.058    0.000 <frozen importlib._bootstrap>:931(_find_and_load_unlocked)
 41383033   34.143    0.000   37.028    0.000 {built-in method builtins.hasattr}
  1344872    6.312    0.000   36.460    0.000 common.py:320(_coerce_to_dtype)
  1098647    9.735    0.000   35.758    0.000 cast.py:765(_possibly_cast_to_datetime)
   545959    2.592    0.000   35.617    0.000 generic.py:1381(_get_item_cache)
    24859    0.056    0.000   35.596    0.001 frame.py:4437(join)
    24859    0.223    0.000   35.539    0.001 frame.py:4557(_join_compat)
    24859    0.158    0.000   35.207    0.001 merge.py:53(merge)
32626934/32547813   28.380    0.000   34.635    0.000 {built-in method builtins.getattr}
    24859    0.530    0.000   34.329    0.001 merge.py:545(get_result)
   272979    6.017    0.000   33.685    0.000 <frozen importlib._bootstrap>:861(_find_spec)
 22092740   14.151    0.000   33.465    0.000 generic.py:7(_check)
    49716    0.227    0.000   32.873    0.001 internals.py:3155(isnull)
   153692    0.349    0.000   32.337    0.000 indexing.py:89(_get_label)
   136250    1.846    0.000   31.981    0.000 threading.py:828(start)
   153692    2.453    0.000   31.946    0.000 generic.py:1679(xs)
    68125    0.680    0.000   31.924    0.000 generic.py:2261(_reindex_axes)
  1001028    7.523    0.000   31.663    0.000 cast.py:227(_maybe_promote)
    92984    3.934    0.000   30.963    0.000 internals.py:4270(form_blocks)
    92986    1.445    0.000   29.755    0.000 generic.py:2350(_reindex_with_indexers)
   639295    0.829    0.000   29.421    0.000 html5parser.py:219(normalizedTokens)
 10758469   18.242    0.000   28.265    0.000 common.py:357(_get_dtype_type)
  4849168   28.264    0.000   28.264    0.000 {built-in method time.strftime}
   672436    1.796    0.000   28.042    0.000 generic.py:131(_validate_dtype)
   639295    4.728    0.000   27.137    0.000 _tokenizer.py:49(__iter__)
9260838/8938143   22.520    0.000   26.637    0.000 {built-in method numpy.core.multiarray.array}
  2424576   12.893    0.000   26.444    0.000 __init__.py:1369(findCaller)
    49716    0.061    0.000   26.330    0.001 indexing.py:794(_getitem_tuple)
  2424584   24.839    0.000   25.657    0.000 {method 'seek' of '_io.TextIOWrapper' objects}
    88216    0.435    0.000   25.265    0.000 indexing.py:1599(_getitem_axis)
  1764211   25.248    0.000   25.248    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
  6185040    8.297    0.000   25.089    0.000 {pandas.lib.values_from_object}
    77841   24.966    0.000   24.966    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
    92986    1.276    0.000   24.578    0.000 base.py:1440(append)
    68127    0.616    0.000   24.436    0.000 merge.py:1664(_get_new_axes)
  1020932    1.393    0.000   24.386    0.000 internals.py:3529(_consolidate_inplace)
  3406854   13.108    0.000   24.249    0.000 generic.py:2746(__setattr__)
   272979    0.669    0.000   23.605    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
   272979    2.302    0.000   22.936    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
  1028626    2.449    0.000   22.757    0.000 common.py:301(is_extension_type)
   957846    1.424    0.000   22.463    0.000 generic.py:2795(_consolidate_inplace)
  2913242    3.494    0.000   22.425    0.000 common.py:64(is_categorical)
  2609655    9.420    0.000   21.772    0.000 internals.py:96(__init__)
  1057284    2.604    0.000   21.682    0.000 generic.py:2785(_protect_consolidate)
    24857    0.407    0.000   21.394    0.001 frame.py:5497(_to_arrays)
    92984    1.114    0.000   21.150    0.000 frame.py:5689(_homogenize)
    99446    3.421    0.000   20.861    0.000 internals.py:4830(get_empty_dtype_and_na)
   136502    1.382    0.000   20.767    0.000 threading.py:533(wait)
    24859    0.260    0.000   20.755    0.001 generic.py:2387(filter)
    24857    1.145    0.000   20.747    0.001 frame.py:5601(_list_of_series_to_arrays)
  3606286    2.321    0.000   20.490    0.000 numeric.py:463(asarray)
  1122109    6.568    0.000   20.438    0.000 common.py:365(_asarray_tuplesafe)
    68127    0.430    0.000   20.335    0.000 merge.py:1700(_get_concat_axis)
    24859    0.114    0.000   20.099    0.001 frame.py:2818(reindex)
  2399722    8.461    0.000   20.094    0.000 internals.py:2786(shape)
    29405    0.184    0.000   19.703    0.001 frame.py:2405(__setitem__)
    68127    0.274    0.000   19.661    0.000 merge.py:1756(_concat_indexes)
    49716    0.367    0.000   19.625    0.000 generic.py:5618(stat_func)
    92986    1.026    0.000   19.488    0.000 base.py:2496(reindex)
    68125    1.356    0.000   19.381    0.000 tweetProcessor.py:116(remove_user_mentions_hashtags)
  2120292    2.651    0.000   19.204    0.000 {method 'any' of 'numpy.ndarray' objects}
    29405    0.210    0.000   19.134    0.001 frame.py:2473(_set_item)
   272980    5.818    0.000   19.059    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
    68125    1.169    0.000   18.762    0.000 tweetProcessor.py:355(remove_candidates_names)
    49716    0.582    0.000   18.753    0.000 frame.py:4928(_reduce)
  1178725    3.572    0.000   18.737    0.000 internals.py:208(make_block_same_class)
   136431    1.738    0.000   18.656    0.000 threading.py:263(wait)
    24859    0.155    0.000   18.577    0.001 frame.py:2755(_reindex_axes)
    99446    0.408    0.000   18.538    0.000 internals.py:4920(<listcomp>)
  4849168   18.505    0.000   18.505    0.000 {built-in method time.localtime}
    92984    1.255    0.000   18.498    0.000 internals.py:3856(_slice_take_blocks_ax0)
    24859    0.138    0.000   18.423    0.001 frame.py:2780(_reindex_columns)
   957846    2.388    0.000   18.199    0.000 generic.py:2798(f)
   375292    1.392    0.000   18.130    0.000 internals.py:5170(get_reindexed_values)
  1304269    6.778    0.000   17.816    0.000 internals.py:1811(__init__)
   297841    2.848    0.000   17.659    0.000 base.py:1506(take)
    29405    0.096    0.000   17.366    0.001 indexing.py:1558(_getitem_tuple)
    68127    0.610    0.000   17.360    0.000 frame.py:5411(extract_index)
   888801    4.627    0.000   17.355    0.000 missing.py:245(array_equivalent)
  2462203    2.609    0.000   17.216    0.000 common.py:98(is_period_dtype)
   545000    1.867    0.000   16.894    0.000 treetaggerwrapper.py:1772(build_with_callable)
  2407383   16.893    0.000   16.893    0.000 {method 'reduce' of 'numpy.ufunc' objects}
 12333170   16.718    0.000   16.718    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
   161121    3.056    0.000   16.674    0.000 concat.py:24(get_dtype_kinds)
   198864    1.577    0.000   16.586    0.000 internals.py:346(apply)
  2120294    1.580    0.000   16.553    0.000 _methods.py:37(_any)
  2999563    3.326    0.000   16.300    0.000 common.py:54(is_object_dtype)
   683066   16.271    0.000   16.271    0.000 {method 'acquire' of '_thread.lock' objects}
237376/222540    0.602    0.000   16.202    0.000 html5parser.py:410(processStartTag)
   103981    1.289    0.000   16.159    0.000 internals.py:4511(_consolidate)
    29405    0.135    0.000   16.102    0.001 generic.py:1499(_set_item)
   272981    1.740    0.000   16.009    0.000 internals.py:3536(get)
    29405    0.382    0.000   15.907    0.001 internals.py:3636(set)
  2333590    2.364    0.000   15.683    0.000 series.py:391(get_values)
  2424576    5.798    0.000   15.660    0.000 posixpath.py:119(splitext)
  3121613    2.790    0.000   15.539    0.000 base.py:3637(_ensure_index)
    24858    0.165    0.000   15.195    0.001 generic.py:3057(copy)
  4849252    3.978    0.000   15.189    0.000 __init__.py:541(formatMessage)
   272981    1.560    0.000   14.705    0.000 frame.py:2393(_box_item_values)
    24858    0.146    0.000   14.693    0.001 internals.py:3364(copy)
  2462203    6.449    0.000   14.607    0.000 dtypes.py:347(is_dtype)
   190512    0.285    0.000   14.331    0.000 generic.py:2803(consolidate)
   436227    4.122    0.000   14.281    0.000 missing.py:120(_isnull_ndarraylike)
    92986    0.344    0.000   13.999    0.000 base.py:1478(_append_same_dtype)
    29405    0.875    0.000   13.898    0.000 internals.py:3748(insert)
   957846    1.159    0.000   13.782    0.000 internals.py:3513(consolidate)
  4143249    4.563    0.000   13.777    0.000 series.py:333(dtype)
   272982    6.902    0.000   13.753    0.000 indexing.py:1857(maybe_convert_indices)
  1015242   13.741    0.000   13.741    0.000 {method 'spell' of 'HunSpell' objects}
   698034    2.451    0.000   13.731    0.000 treetaggerwrapper.py:2001(split_on_regexp)
  5919097    3.586    0.000   13.717    0.000 <frozen importlib._bootstrap>:989(_handle_fromlist)
    92986    1.268    0.000   13.655    0.000 concat.py:392(_concat_index_asobject)
  1730836    4.598    0.000   13.413    0.000 base.py:1131(_convert_scalar_indexer)
  2333590    4.994    0.000   13.319    0.000 internals.py:4177(get_values)
  2424576    7.146    0.000   13.158    0.000 posixpath.py:142(basename)
  1322871   12.674    0.000   13.147    0.000 {pandas.lib.infer_dtype}
   272979    1.454    0.000   13.099    0.000 indexing.py:1806(check_bool_indexer)
  1241984    5.395    0.000   12.949    0.000 numeric.py:2686(seterr)
  4849252    4.447    0.000   12.903    0.000 __init__.py:535(usesTime)
   218831    1.007    0.000   12.769    0.000 base.py:292(insertElementNormal)
   122391    0.608    0.000   12.513    0.000 base.py:379(_shallow_copy_with_infer)
  1216496    6.460    0.000   12.378    0.000 base.py:334(_simple_new)
   494812    3.809    0.000   12.374    0.000 internals.py:2966(_verify_integrity)
   871374   12.230    0.000   12.230    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
  2269730    1.608    0.000   11.987    0.000 common.py:59(is_sparse)
    58810    0.109    0.000   11.955    0.000 indexing.py:104(_get_loc)
