FOR ~10000 Tweets processed
         66128862 function calls (65856500 primitive calls) in 481.617 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   228408    2.373    0.000    2.450    0.000 {method 'seek' of '_io.TextIOWrapper' objects}
     1331    0.005    0.000    2.164    0.002 client.py:1236(request)
     1331    0.024    0.000    2.159    0.002 client.py:1241(_send_request)
     2662    0.015    0.000    2.131    0.001 element.py:1273(find)
     2662    0.012    0.000    2.115    0.001 element.py:1284(find_all)
     2662    0.170    0.000    2.103    0.001 element.py:518(_find_all)
  1814300    1.489    0.000    2.090    0.000 _inputstream.py:240(char)
    23211    0.056    0.000    2.075    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
     1331    0.005    0.000    2.043    0.002 client.py:1223(endheaders)
     1331    0.007    0.000    2.038    0.002 client.py:1017(_send_output)
     1331    0.011    0.000    2.030    0.002 client.py:956(send)
    23211    0.197    0.000    2.019    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
   123546    1.983    0.000    1.983    0.000 {method 'spell' of 'HunSpell' objects}
     1331    0.016    0.000    1.970    0.001 client.py:933(connect)
     1331    0.015    0.000    1.945    0.001 socket.py:688(create_connection)
  1306368    1.913    0.000    1.913    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
3180480/2936947    1.210    0.000    1.853    0.000 {built-in method builtins.len}
       16    1.843    0.115    1.843    0.115 {built-in method io.open}
   456816    1.824    0.000    1.824    0.000 {built-in method time.localtime}
    46416    0.402    0.000    1.788    0.000 cast.py:227(_maybe_promote)
   316879    1.050    0.000    1.749    0.000 _inputstream.py:320(charsUntil)
    23208    0.135    0.000    1.720    0.000 series.py:2834(_try_cast)
   127776    0.234    0.000    1.706    0.000 element.py:1675(search)
    23208    0.711    0.000    1.699    0.000 internals.py:2841(_rebuild_blknos_and_blklocs)
    23212    0.507    0.000    1.686    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
   199650    0.443    0.000    1.674    0.000 _tokenizer.py:242(dataState)
     1331    0.022    0.000    1.635    0.001 html5parser.py:60(__init__)
   228932    0.705    0.000    1.627    0.000 _tokenizer.py:873(attributeNameState)
    11018    0.101    0.000    1.624    0.000 threading.py:533(wait)
   232080    0.243    0.000    1.609    0.000 common.py:102(is_categorical_dtype)
     1331    0.014    0.000    1.601    0.001 socket.py:726(getaddrinfo)
     1331    1.528    0.001    1.560    0.001 {built-in method _socket.getaddrinfo}
   228401    0.521    0.000    1.538    0.000 posixpath.py:119(splitext)
     1331    0.074    0.000    1.529    0.001 html5parser.py:77(<listcomp>)
   249154    0.752    0.000    1.526    0.000 _html5lib.py:289(setAttributes)
    44016    0.144    0.000    1.520    0.000 treetaggerwrapper.py:1772(build_with_callable)
    79860    0.233    0.000    1.507    0.000 _html5lib.py:120(elementClass)
   162456    0.169    0.000    1.502    0.000 common.py:69(is_datetimetz)
     5502    0.069    0.000    1.484    0.000 textProcessor.py:337(remove_candidates_names)
    10997    0.119    0.000    1.474    0.000 threading.py:263(wait)
    46416    0.286    0.000    1.462    0.000 common.py:320(_coerce_to_dtype)
   456818    0.378    0.000    1.455    0.000 __init__.py:541(formatMessage)
    19965    0.042    0.000    1.450    0.000 html5parser.py:1033(startTagCloseP)
    92832    0.414    0.000    1.438    0.000 internals.py:2649(make_block)
   232080    0.174    0.000    1.437    0.000 common.py:89(is_datetime64tz_dtype)
    23208    0.238    0.000    1.436    0.000 base.py:1506(take)
    23208    0.146    0.000    1.404    0.000 internals.py:3536(get)
   228409    0.740    0.000    1.401    0.000 posixpath.py:142(basename)
    39930    0.075    0.000    1.391    0.000 html5parser.py:1001(processSpaceCharactersNonPre)
    67881    0.250    0.000    1.329    0.000 element.py:1634(search_tag)
    23208    0.124    0.000    1.318    0.000 frame.py:2393(_box_item_values)
    55058    1.313    0.000    1.313    0.000 {method 'acquire' of '_thread.lock' objects}
  1523930    1.131    0.000    1.300    0.000 {built-in method builtins.hasattr}
    56383    0.204    0.000    1.275    0.000 treetaggerwrapper.py:2001(split_on_regexp)
     1608    0.287    0.000    1.263    0.001 textProcessor.py:299(typo_correction)
   158389    0.589    0.000    1.257    0.000 __init__.py:367(object_was_parsed)
    15452    1.222    0.000    1.222    0.000 {built-in method _pickle.load}
    69624    0.243    0.000    1.203    0.000 internals.py:208(make_block_same_class)
    80697    1.193    0.000    1.193    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
   456818    0.423    0.000    1.184    0.000 __init__.py:535(usesTime)
   207776    0.510    0.000    1.177    0.000 candidate.py:35(regex)
    23208    0.119    0.000    1.159    0.000 indexing.py:1806(check_bool_indexer)
    23208    0.570    0.000    1.149    0.000 indexing.py:1857(maybe_convert_indices)
    23208    0.077    0.000    1.135    0.000 generic.py:131(_validate_dtype)
   384659    0.571    0.000    1.125    0.000 _tokenizer.py:420(tagNameState)
   116040    0.156    0.000    1.105    0.000 {method 'any' of 'numpy.ndarray' objects}
   456818    1.077    0.000    1.077    0.000 __init__.py:385(format)
185664/162456    0.737    0.000    1.037    0.000 {built-in method numpy.core.multiarray.array}
   139248    0.551    0.000    1.035    0.000 generic.py:2746(__setattr__)
    70585    0.050    0.000    1.030    0.000 textProcessor.py:354(is_correctly_spelled)
    23208    0.076    0.000    1.001    0.000 frame.py:2400(_box_col_values)
   430028    0.635    0.000    0.966    0.000 __init__.py:1537(isEnabledFor)
   464160    0.387    0.000    0.956    0.000 generic.py:7(_check)
   116040    0.094    0.000    0.949    0.000 _methods.py:37(_any)
    57233    0.127    0.000    0.948    0.000 html5parser.py:423(processEndTag)
    23208    0.249    0.000    0.939    0.000 internals.py:3565(iget)
    13310    0.063    0.000    0.928    0.000 html5parser.py:949(addFormattingElement)
    23208    0.097    0.000    0.925    0.000 series.py:252(from_array)
    11979    0.040    0.000    0.922    0.000 html5parser.py:1090(startTagA)
    79860    0.149    0.000    0.905    0.000 __init__.py:305(new_tag)
    11004    0.901    0.000    0.901    0.000 {built-in method _thread.start_new_thread}
     1331    0.012    0.000    0.900    0.001 _tokenizer.py:34(__init__)
    92832    0.352    0.000    0.896    0.000 internals.py:2786(shape)
    46416    0.270    0.000    0.896    0.000 internals.py:4031(__init__)
    23208    0.152    0.000    0.894    0.000 base.py:1643(equals)
     1331    0.014    0.000    0.888    0.001 _inputstream.py:131(HTMLInputStream)
   116040    0.855    0.000    0.855    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   228401    0.647    0.000    0.854    0.000 genericpath.py:117(_splitext)
     1331    0.018    0.000    0.849    0.001 _inputstream.py:392(__init__)
    23208    0.299    0.000    0.812    0.000 cast.py:765(_possibly_cast_to_datetime)
    83853    0.521    0.000    0.810    0.000 element.py:806(__init__)
    47916    0.602    0.000    0.804    0.000 _utils.py:52(__init__)
   153065    0.272    0.000    0.801    0.000 _tokenizer.py:993(attributeValueDoubleQuotedState)
    69624    0.052    0.000    0.798    0.000 numeric.py:463(asarray)
    23208    0.137    0.000    0.787    0.000 range.py:249(_shallow_copy)
   228401    0.412    0.000    0.774    0.000 posixpath.py:50(normcase)
   456818    0.413    0.000    0.761    0.000 __init__.py:382(usesTime)
   339919    0.748    0.000    0.760    0.000 element.py:203(setup)
   456820    0.445    0.000    0.751    0.000 __init__.py:802(acquire)
     1331    0.010    0.000    0.744    0.001 _inputstream.py:457(determineEncoding)
    83853    0.229    0.000    0.736    0.000 element.py:1701(_matches)
    92832    0.369    0.000    0.724    0.000 internals.py:96(__init__)
    46416    0.276    0.000    0.718    0.000 numeric.py:2686(seterr)
     1331    0.070    0.000    0.717    0.001 client.py:194(parse_headers)
     1331    0.012    0.000    0.715    0.001 _inputstream.py:569(detectEncodingMeta)
    79860    0.431    0.000    0.701    0.000 base.py:165(elementInScope)
    15972    0.020    0.000    0.688    0.000 html5parser.py:1601(processCharacters)
