FOR ~10000 Tweets processed
         66128862 function calls (65856500 primitive calls) in 481.617 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1331    0.050    0.000    0.681    0.001 _inputstream.py:696(getEncoding)
    17560    0.049    0.000    0.672    0.000 html5parser.py:989(processCharacters)
    69624    0.098    0.000    0.670    0.000 common.py:64(is_categorical)
   585555    0.661    0.000    0.661    0.000 {built-in method builtins.getattr}
    23208    0.195    0.000    0.645    0.000 internals.py:2966(_verify_integrity)
   456820    0.474    0.000    0.644    0.000 __init__.py:809(release)
     6655    0.037    0.000    0.643    0.000 html5parser.py:678(startTagMeta)
   228408    0.640    0.000    0.640    0.000 {method 'tell' of '_io.TextIOWrapper' objects}
    23208    0.128    0.000    0.636    0.000 base.py:371(_shallow_copy)
    23208    0.068    0.000    0.626    0.000 common.py:301(is_extension_type)
    15279    0.199    0.000    0.614    0.000 dictionnary.py:38(save_buffer)
    46416    0.280    0.000    0.607    0.000 dtypes.py:221(construct_from_string)
    96346    0.112    0.000    0.603    0.000 __init__.py:309(new_string)
     2662    0.026    0.000    0.601    0.000 _inputstream.py:255(readChunk)
    46416    0.254    0.000    0.584    0.000 internals.py:1811(__init__)
     1331    0.021    0.000    0.580    0.000 parser.py:60(parsestr)
   456818    0.579    0.000    0.579    0.000 __init__.py:324(getMessage)
    23211    0.116    0.000    0.578    0.000 <frozen importlib._bootstrap>:146(__enter__)
     9317    0.029    0.000    0.570    0.000 html5parser.py:713(startTagScript)
     1331    0.018    0.000    0.559    0.000 parser.py:42(parse)
   227858    0.526    0.000    0.559    0.000 html5parser.py:264(normalizeToken)
    46416    0.154    0.000    0.556    0.000 function.py:37(__call__)
    23218    0.039    0.000    0.548    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
   278496    0.143    0.000    0.544    0.000 internals.py:2788(<genexpr>)
   169294    0.381    0.000    0.542    0.000 base.py:24(__init__)
   207785    0.140    0.000    0.522    0.000 re.py:231(compile)
    23279    0.510    0.000    0.510    0.000 {built-in method posix.stat}
   159720    0.294    0.000    0.510    0.000 abc.py:178(__instancecheck__)
   116063    0.187    0.000    0.508    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
    97677    0.193    0.000    0.505    0.000 element.py:697(__new__)
    13671    0.071    0.000    0.501    0.000 dictionnary.py:59(__setitem__)
   137093    0.323    0.000    0.499    0.000 _tokenizer.py:222(emitCurrentToken)
  2305306    0.497    0.000    0.497    0.000 {method 'append' of 'list' objects}
     1331    0.007    0.000    0.484    0.000 _inputstream.py:293(characterErrorsUCS4)
   228401    0.252    0.000    0.475    0.000 __init__.py:152(<lambda>)
   691866    0.473    0.000    0.473    0.000 {method 'rfind' of 'str' objects}
    11004    0.163    0.000    0.464    0.000 threading.py:757(__init__)
   263886    0.460    0.000    0.460    0.000 {method 'translate' of 'str' objects}
