         909811854 function calls (899782868 primitive calls) in 3627.750 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000 3627.759 3627.759 {built-in method builtins.exec}
        1    0.745    0.745 3627.759 3627.759 <string>:2(<module>)
        2    1.185    0.592 3213.891 1606.946 frame.py:4065(apply)
        2    1.856    0.928 3212.707 1606.353 frame.py:4182(_apply_standard)
    56044    9.225    0.000 2949.223    0.053 tweetProcessor.py:65(process)
    56044   12.674    0.000 1622.188    0.029 tweetProcessor.py:399(score)
   268188   10.737    0.000  786.595    0.003 ops.py:803(wrapper)
   268188    2.209    0.000  673.355    0.003 ops.py:749(na_op)
   229088    1.489    0.000  663.806    0.003 ops.py:727(_comp_method_OBJECT_ARRAY)
   229088  611.408    0.003  660.643    0.003 {pandas.lib.scalar_compare}
    56044    1.235    0.000  514.601    0.009 tweetProcessor.py:292(correct)
     2855    0.199    0.000  478.903    0.168 tweetProcessor.py:172(translate_online)
   112088  458.032    0.004  458.032    0.004 {method 'findall' of '_regex.Pattern' objects}
        2    0.286    0.143  412.927  206.464 groupby.py:633(apply)
        2    0.002    0.001  412.641  206.320 groupby.py:696(_python_apply_general)
     2788    0.021    0.000  408.359    0.146 request.py:140(urlopen)
     2788    0.063    0.000  408.337    0.146 request.py:508(open)
     2788    0.017    0.000  407.805    0.146 request.py:536(_open)
     5576    0.020    0.000  407.788    0.073 request.py:497(_call_chain)
     2788    0.025    0.000  407.762    0.146 request.py:1345(http_open)
     2788    0.138    0.000  407.737    0.146 request.py:1276(do_open)
     2788    0.060    0.000  402.255    0.144 client.py:1287(getresponse)
     2788    0.106    0.000  401.988    0.144 client.py:290(begin)
     2788    0.122    0.000  399.617    0.143 client.py:257(_read_status)
    42085    0.197    0.000  399.595    0.009 {method 'readline' of '_io.BufferedReader' objects}
     2788    0.028    0.000  399.398    0.143 socket.py:572(readinto)
     2788  399.355    0.143  399.355    0.143 {method 'recv_into' of '_socket.socket' objects}
  1607081    7.685    0.000  340.753    0.000 __init__.py:1414(_log)
        2    0.501    0.250  307.659  153.830 groupby.py:1585(apply)
   112088    4.871    0.000  287.980    0.003 tweetProcessor.py:240(tag)
   112088   15.349    0.000  279.783    0.002 treetaggerwrapper.py:1240(tag_text)
  3293621    7.695    0.000  279.276    0.000 __init__.py:1279(debug)
   687275    8.584    0.000  279.221    0.000 frame.py:2035(__getitem__)
  1104995   20.992    0.000  272.413    0.000 series.py:135(__init__)
  1607081    4.013    0.000  233.312    0.000 __init__.py:1439(handle)
  1607081    8.988    0.000  227.559    0.000 __init__.py:1493(callHandlers)
   229091    3.582    0.000  224.559    0.001 frame.py:2078(_getitem_array)
  1607154    6.148    0.000  218.571    0.000 __init__.py:845(handle)
  1607087    5.560    0.000  205.851    0.000 handlers.py:63(emit)
    56046    0.653    0.000  197.747    0.004 merge.py:1396(concat)
   229094    6.226    0.000  196.036    0.001 generic.py:1650(take)
        2    0.000    0.000  194.209   97.105 groupby.py:4054(fast_apply)
        2    0.364    0.182  193.682   96.841 {pandas.lib.apply_frame_axis0}
    19550    0.041    0.000  181.153    0.009 <string>:6(<lambda>)
    19550    0.911    0.000  181.113    0.009 <ipython-input-19-11ad5caad0fb>:9(propagate_score)
    81175    5.990    0.000  174.629    0.002 tweetProcessor.py:263(candidate_reference)
   229094    5.944    0.000  159.682    0.001 internals.py:3943(take)
  1425061    9.186    0.000  141.897    0.000 series.py:600(__getitem__)
  3322994  137.039    0.000  137.039    0.000 {method 'readline' of '_io._IOBase' objects}
   304690    3.736    0.000  136.431    0.000 internals.py:3813(reindex_indexer)
   469660    4.006    0.000  132.794    0.000 frame.py:252(__init__)
151026281   73.891    0.000  112.006    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000  104.980   52.490 groupby.py:3301(_wrap_applied_output)
        2    0.024    0.012  104.979   52.490 groupby.py:845(_concat_objects)
   858952   10.647    0.000  104.975    0.000 series.py:2817(_sanitize_array)
  3214241    4.611    0.000  102.134    0.000 __init__.py:822(format)
  1607087    2.607    0.000  101.592    0.000 __init__.py:1056(emit)
    56046    3.164    0.000  101.347    0.002 merge.py:1460(__init__)
904897/627472   21.535    0.000  100.206    0.000 base.py:142(__new__)
  1607154    6.075    0.000   99.377    0.000 __init__.py:975(emit)
  1607087   10.513    0.000   97.704    0.000 handlers.py:177(shouldRollover)
  3214241   16.094    0.000   97.512    0.000 __init__.py:557(format)
    56046    1.380    0.000   95.747    0.002 merge.py:1599(get_result)
   875134   17.023    0.000   95.014    0.000 algorithms.py:1010(take_nd)
    56044    0.547    0.000   93.976    0.002 series.py:1530(append)
210207/142993    1.553    0.000   93.774    0.001 indexing.py:1302(__getitem__)
    28116    0.108    0.000   92.385    0.003 <string>:3(<lambda>)
    28116    1.291    0.000   92.278    0.003 <ipython-input-19-11ad5caad0fb>:1(propagate_candidates)
    75594    0.529    0.000   89.279    0.001 frame.py:5391(_arrays_to_mgr)
    56046    2.666    0.000   87.013    0.002 frame.py:349(_init_dict)
   553351    6.068    0.000   84.334    0.000 internals.py:1001(take_nd)
 17902610   35.700    0.000   83.878    0.000 dtypes.py:74(is_dtype)
    19552    0.397    0.000   83.232    0.004 internals.py:4807(concatenate_block_managers)
   370444    1.901    0.000   79.099    0.000 __init__.py:1291(info)
  1607081    5.232    0.000   78.491    0.000 __init__.py:1399(makeRecord)
   229096    1.733    0.000   75.664    0.000 internals.py:3848(<listcomp>)
    56044    2.753    0.000   75.486    0.001 tweetProcessor.py:133(find_relevant_words)
    39098    0.561    0.000   73.528    0.002 frame.py:3852(first_valid_index)
  1607081   36.927    0.000   73.259    0.000 __init__.py:246(__init__)
   497776    5.182    0.000   72.337    0.000 internals.py:2745(__init__)
   112088    4.523    0.000   69.916    0.001 treetaggerwrapper.py:1454(_prepare_text)
    19552    0.849    0.000   69.501    0.004 internals.py:4823(<listcomp>)
   830838    4.685    0.000   69.216    0.000 series.py:2834(_try_cast)
   212811    3.023    0.000   68.872    0.000 generic.py:2224(reindex)
  1425061   10.738    0.000   66.171    0.000 base.py:2146(get_value)
    78210    0.363    0.000   65.421    0.001 internals.py:4910(concatenate_join_units)
     2788    0.149    0.000   64.825    0.023 __init__.py:87(__init__)
     2788    0.025    0.000   64.463    0.023 __init__.py:285(_feed)
     2788    0.066    0.000   64.434    0.023 _html5lib.py:61(feed)
    56044    0.891    0.000   62.588    0.001 series.py:646(_get_with)
     2788    0.025    0.000   60.481    0.022 html5parser.py:223(parse)
     2788    0.047    0.000   60.454    0.022 html5parser.py:80(_parse)
  2201109   15.238    0.000   59.416    0.000 internals.py:2649(make_block)
    39098    0.635    0.000   57.965    0.001 frame.py:4846(count)
    56044    0.330    0.000   57.945    0.001 indexing.py:74(__getitem__)
     2788    2.429    0.001   57.612    0.021 html5parser.py:152(mainLoop)
    56044    0.543    0.000   57.553    0.001 indexing.py:999(_getitem_axis)
  3214174   14.420    0.000   54.520    0.000 __init__.py:490(formatTime)
    56044    1.484    0.000   53.904    0.001 indexing.py:1034(_getitem_iterable)
   193261    1.131    0.000   53.793    0.000 series.py:2360(reindex)
  8301060    9.032    0.000   51.437    0.000 common.py:102(is_categorical_dtype)
   366312    1.820    0.000   51.419    0.000 series.py:252(from_array)
   584542   20.853    0.000   49.804    0.000 internals.py:2841(_rebuild_blknos_and_blklocs)
   920905    5.650    0.000   48.500    0.000 base.py:1643(equals)
  1607154    6.906    0.000   48.497    0.000 __init__.py:964(flush)
   229088    2.971    0.000   48.203    0.000 <frozen importlib._bootstrap>:958(_find_and_load)
  5140496    6.338    0.000   47.590    0.000 common.py:69(is_datetimetz)
    67214    1.440    0.000   46.518    0.001 indexing.py:894(_getitem_lowerdim)
    56044    0.406    0.000   45.273    0.001 tweetProcessor.py:387(remove_emojis)
   125858    0.995    0.000   42.934    0.000 indexing.py:1447(_getitem_axis)
  7759689    8.812    0.000   42.796    0.000 common.py:89(is_datetime64tz_dtype)
   137221    1.214    0.000   42.255    0.000 frame.py:4223(<genexpr>)
   937142   10.375    0.000   42.238    0.000 cast.py:765(_possibly_cast_to_datetime)
 33758428   39.015    0.000   42.014    0.000 {built-in method builtins.hasattr}
    75594    0.733    0.000   41.875    0.001 internals.py:4259(create_block_manager_from_arrays)
  1104995    7.509    0.000   41.631    0.000 internals.py:4031(__init__)
   112088    1.891    0.000   41.487    0.000 threading.py:828(start)
791291/634899    0.969    0.000   41.462    0.000 missing.py:27(isnull)
    84349    0.704    0.000   41.328    0.000 indexing.py:1599(_getitem_axis)
791291/634899    2.467    0.000   40.606    0.000 missing.py:48(_isnull_new)
  1148896   37.757    0.000   39.223    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
   157860   14.292    0.000   38.883    0.000 treetaggerwrapper.py:1593(_prepare_part)
49157623/40421839   25.318    0.000   38.780    0.000 {built-in method builtins.len}
  1152654    6.680    0.000   37.945    0.000 common.py:320(_coerce_to_dtype)
28062732/27995518   30.989    0.000   37.915    0.000 {built-in method builtins.getattr}
    56044    0.320    0.000   37.877    0.001 series.py:2376(reindex_axis)
   458183    1.441    0.000   37.498    0.000 frame.py:2061(_getitem_column)
    39098    0.141    0.000   36.749    0.001 missing.py:186(notnull)
 18905815   15.246    0.000   36.517    0.000 generic.py:7(_check)
   229088    2.437    0.000   36.276    0.000 <frozen importlib._bootstrap>:931(_find_and_load_unlocked)
    97747    1.674    0.000   36.060    0.000 internals.py:2978(apply)
   458183    2.483    0.000   36.056    0.000 generic.py:1381(_get_item_cache)
    56044    1.742    0.000   35.877    0.001 tweetProcessor.py:146(filter_words_only)
  1607087   35.765    0.000   35.765    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
   805721    1.699    0.000   33.879    0.000 generic.py:2795(_consolidate_inplace)
   125858    0.381    0.000   33.562    0.000 indexing.py:89(_get_label)
   836032    7.951    0.000   33.545    0.000 cast.py:227(_maybe_promote)
   125858    2.475    0.000   33.093    0.000 generic.py:1679(xs)
   229088    5.839    0.000   32.902    0.000 <frozen importlib._bootstrap>:861(_find_spec)
    28116    0.340    0.000   32.837    0.001 frame.py:2405(__setitem__)
