         873879485 function calls (864204057 primitive calls) in 2999.574 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000 2999.581 2999.581 {built-in method builtins.exec}
        1    0.495    0.495 2999.580 2999.580 <string>:2(<module>)
        2    0.739    0.370 2656.049 1328.024 frame.py:4065(apply)
        2    1.369    0.684 2655.310 1327.655 frame.py:4182(_apply_standard)
    53847    7.271    0.000 2474.755    0.046 tweetProcessor.py:65(process)
    53847   10.180    0.000 1341.195    0.025 tweetProcessor.py:399(score)
   254848    8.866    0.000  665.896    0.003 ops.py:803(wrapper)
   254848    1.983    0.000  571.171    0.002 ops.py:749(na_op)
   216042    1.186    0.000  562.531    0.003 ops.py:727(_comp_method_OBJECT_ARRAY)
   216042  518.598    0.002  559.963    0.003 {pandas.lib.scalar_compare}
    53847    1.020    0.000  463.788    0.009 tweetProcessor.py:292(correct)
     2683    0.171    0.000  431.144    0.161 tweetProcessor.py:172(translate_online)
   107694  368.769    0.003  368.769    0.003 {method 'findall' of '_regex.Pattern' objects}
     2628    0.019    0.000  367.803    0.140 request.py:140(urlopen)
     2628    0.055    0.000  367.784    0.140 request.py:508(open)
     2628    0.015    0.000  367.354    0.140 request.py:536(_open)
     5256    0.016    0.000  367.339    0.070 request.py:497(_call_chain)
     2628    0.021    0.000  367.317    0.140 request.py:1345(http_open)
     2628    0.121    0.000  367.296    0.140 request.py:1276(do_open)
     2628    0.054    0.000  362.634    0.138 client.py:1287(getresponse)
     2628    0.102    0.000  362.393    0.138 client.py:290(begin)
     2628    0.120    0.000  360.104    0.137 client.py:257(_read_status)
    39650    0.182    0.000  360.076    0.009 {method 'readline' of '_io.BufferedReader' objects}
     2628    0.027    0.000  359.893    0.137 socket.py:572(readinto)
     2628  359.852    0.137  359.852    0.137 {method 'recv_into' of '_socket.socket' objects}
        2    0.265    0.133  342.938  171.469 groupby.py:633(apply)
        2    0.001    0.001  342.672  171.336 groupby.py:696(_python_apply_general)
        2    0.271    0.136  275.574  137.787 groupby.py:1585(apply)
  1520530    6.177    0.000  271.686    0.000 __init__.py:1414(_log)
   107694    4.013    0.000  244.849    0.002 tweetProcessor.py:240(tag)
   107694   12.784    0.000  238.039    0.002 treetaggerwrapper.py:1240(tag_text)
   648137    6.989    0.000  227.999    0.000 frame.py:2035(__getitem__)
  3140441    6.113    0.000  223.672    0.000 __init__.py:1279(debug)
  1057432   16.431    0.000  209.553    0.000 series.py:135(__init__)
        2    0.000    0.000  205.315  102.658 groupby.py:4054(fast_apply)
        2    0.396    0.198  204.961  102.480 {pandas.lib.apply_frame_axis0}
    19403    0.045    0.000  191.859    0.010 <string>:6(<lambda>)
    19403    1.017    0.000  191.814    0.010 <ipython-input-19-11ad5caad0fb>:9(propagate_score)
  1520530    3.266    0.000  185.526    0.000 __init__.py:1439(handle)
   216045    2.947    0.000  183.416    0.001 frame.py:2078(_getitem_array)
  1520530    7.065    0.000  180.860    0.000 __init__.py:1493(callHandlers)
  1520590    4.999    0.000  173.795    0.000 __init__.py:845(handle)
  1520535    4.473    0.000  163.471    0.000 handlers.py:63(emit)
   216048    5.001    0.000  159.827    0.001 generic.py:1650(take)
    53849    0.523    0.000  139.983    0.003 merge.py:1396(concat)
   216048    4.864    0.000  129.962    0.001 internals.py:3943(take)
  3174262  122.824    0.000  122.824    0.000 {method 'readline' of '_io._IOBase' objects}
    76503    3.918    0.000  119.064    0.002 tweetProcessor.py:263(candidate_reference)
   289300    3.139    0.000  113.848    0.000 internals.py:3813(reindex_indexer)
  1351356    6.377    0.000  112.681    0.000 series.py:600(__getitem__)
   452569    3.474    0.000  107.124    0.000 frame.py:252(__init__)
145424843   59.434    0.000   89.330    0.000 {built-in method builtins.isinstance}
   826338    8.411    0.000   81.957    0.000 series.py:2817(_sanitize_array)
  3041125    3.731    0.000   81.720    0.000 __init__.py:822(format)
  1520535    2.201    0.000   79.588    0.000 __init__.py:1056(emit)
  1520535    8.532    0.000   78.664    0.000 handlers.py:177(shouldRollover)
  3041125   13.193    0.000   77.983    0.000 __init__.py:557(format)
    38804    0.608    0.000   77.806    0.002 frame.py:3852(first_valid_index)
  1520590    4.927    0.000   77.653    0.000 __init__.py:975(emit)
870832/605342   17.063    0.000   76.641    0.000 base.py:142(__new__)
   846259   13.510    0.000   74.247    0.000 algorithms.py:1010(take_nd)
    53847    0.483    0.000   73.877    0.001 series.py:1530(append)
    53849    2.553    0.000   73.643    0.001 merge.py:1460(__init__)
206784/140536    1.159    0.000   71.881    0.001 indexing.py:1302(__getitem__)
   524768    4.970    0.000   68.449    0.000 internals.py:1001(take_nd)
        2    0.000    0.000   67.097   33.549 groupby.py:3301(_wrap_applied_output)
        2    0.023    0.011   67.097   33.548 groupby.py:845(_concat_objects)
    73250    0.475    0.000   67.079    0.001 frame.py:5391(_arrays_to_mgr)
    53849    1.117    0.000   65.817    0.001 merge.py:1599(get_result)
 17280516   26.767    0.000   63.816    0.000 dtypes.py:74(is_dtype)
  1520530    4.149    0.000   62.986    0.000 __init__.py:1399(makeRecord)
   355195    1.484    0.000   62.267    0.000 __init__.py:1291(info)
    38804    0.684    0.000   61.357    0.002 frame.py:4846(count)
   203598    2.443    0.000   60.933    0.000 generic.py:2224(reindex)
   216050    1.423    0.000   60.725    0.000 internals.py:3848(<listcomp>)
    53849    0.883    0.000   60.286    0.001 frame.py:349(_init_dict)
    19405    0.288    0.000   59.622    0.003 internals.py:4807(concatenate_block_managers)
   480013    4.323    0.000   59.614    0.000 internals.py:2745(__init__)
    53847    2.209    0.000   59.392    0.001 tweetProcessor.py:133(find_relevant_words)
  1520530   29.413    0.000   58.838    0.000 __init__.py:246(__init__)
     2628    0.146    0.000   58.514    0.022 __init__.py:87(__init__)
     2628    0.022    0.000   58.139    0.022 __init__.py:285(_feed)
     2628    0.062    0.000   58.113    0.022 _html5lib.py:61(feed)
   107694    3.795    0.000   57.660    0.001 treetaggerwrapper.py:1454(_prepare_text)
    27444    0.061    0.000   57.559    0.002 <string>:3(<lambda>)
    27444    0.739    0.000   57.498    0.002 <ipython-input-19-11ad5caad0fb>:1(propagate_candidates)
    53847    0.763    0.000   54.565    0.001 series.py:646(_get_with)
   798896    3.776    0.000   54.382    0.000 series.py:2834(_try_cast)
     2628    0.022    0.000   54.274    0.021 html5parser.py:223(parse)
     2628    0.048    0.000   54.251    0.021 html5parser.py:80(_parse)
     2628    2.055    0.001   51.481    0.020 html5parser.py:152(mainLoop)
