         2098685989 function calls (2070205242 primitive calls) in 8408.946 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  4200743   20.932    0.000  125.742    0.000 base.py:2146(get_value)
 42565482   55.204    0.000  125.100    0.000 dtypes.py:74(is_dtype)
   158213    3.579    0.000  121.318    0.001 indexing.py:1034(_getitem_iterable)
  5573686   30.233    0.000  116.019    0.000 internals.py:2649(make_block)
  1884539   46.201    0.000  114.973    0.000 internals.py:2841(_rebuild_blknos_and_blklocs)
   539238    2.096    0.000  113.755    0.000 series.py:2360(reindex)
   376770    7.426    0.000  109.029    0.000 internals.py:3856(_slice_take_blocks_ax0)
   158213    0.921    0.000  106.339    0.001 tweetProcessor.py:387(remove_emojis)
   170943    2.673    0.000  104.107    0.001 groupby.py:3787(_wrap_agged_blocks)
    47616    1.624    0.000  102.741    0.002 internals.py:4823(<listcomp>)
    67454    0.076    0.000   98.306    0.001 <string>:3(<lambda>)
    67454    1.224    0.000   98.230    0.001 <ipython-input-2-11ad5caad0fb>:1(propagate_candidates)
   190466    0.822    0.000   93.381    0.000 internals.py:4910(concatenate_join_units)
  3210162   89.566    0.000   93.137    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
   434829   33.900    0.000   91.925    0.000 treetaggerwrapper.py:1593(_prepare_part)
   722917    2.784    0.000   91.915    0.000 series.py:252(from_array)
  2105417    3.617    0.000   89.524    0.000 internals.py:3529(_consolidate_inplace)
  1895341    6.512    0.000   88.198    0.000 series.py:2834(_try_cast)
   316434    2.107    0.000   88.129    0.000 internals.py:3848(<listcomp>)
  2668644   10.856    0.000   87.121    0.000 base.py:1643(equals)
   316426    4.603    0.000   86.839    0.000 threading.py:828(start)
   158213    0.788    0.000   85.752    0.001 series.py:2376(reindex_axis)
   205827    1.602    0.000   84.700    0.000 internals.py:4259(create_block_manager_from_arrays)
1752074/1371170    1.711    0.000   84.603    0.000 missing.py:27(isnull)
    95226    0.339    0.000   83.873    0.001 missing.py:186(notnull)
1752074/1371170    4.442    0.000   83.169    0.000 missing.py:48(_isnull_new)
 12466855   12.074    0.000   81.524    0.000 common.py:69(is_datetimetz)
   381029    2.082    0.000   76.432    0.000 frame.py:4223(<genexpr>)
   162680    2.281    0.000   75.945    0.000 indexing.py:894(_getitem_lowerdim)
   305516    1.812    0.000   75.481    0.000 indexing.py:1447(_getitem_axis)
 19312218   14.774    0.000   75.089    0.000 common.py:102(is_categorical_dtype)
132438242/107035402   50.720    0.000   73.308    0.000 {built-in method builtins.len}
   158213    1.510    0.000   72.260    0.000 generic.py:2261(_reindex_axes)
 24767045   43.138    0.000   68.744    0.000 common.py:357(_get_dtype_type)
   170945    1.521    0.000   68.384    0.000 generic.py:3079(_convert)
70857078/70694398   53.691    0.000   67.976    0.000 {built-in method builtins.getattr}
  2367674   10.951    0.000   66.204    0.000 internals.py:4031(__init__)
 79512683   63.378    0.000   65.996    0.000 {built-in method builtins.hasattr}
  1043987    1.749    0.000   65.451    0.000 __init__.py:1056(emit)
  1044293    3.919    0.000   64.676    0.000 __init__.py:975(emit)
  1043987    6.781    0.000   64.538    0.000 handlers.py:177(shouldRollover)
   170945    0.900    0.000   64.344    0.000 internals.py:3191(convert)
  2088280    2.973    0.000   64.066    0.000 __init__.py:822(format)
    47614    0.103    0.000   63.704    0.001 frame.py:4437(join)
 18400342   12.251    0.000   63.656    0.000 common.py:89(is_datetime64tz_dtype)
