         942088050 function calls (931728935 primitive calls) in 3702.918 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3026    0.026    0.000   62.593    0.021 html5parser.py:223(parse)
     3026    0.049    0.000   62.566    0.021 html5parser.py:80(_parse)
    20189    0.834    0.000   62.292    0.003 internals.py:4823(<listcomp>)
    58783    0.892    0.000   62.016    0.001 series.py:646(_get_with)
     3026    2.525    0.001   59.702    0.020 html5parser.py:152(mainLoop)
  2275012   15.135    0.000   58.649    0.000 internals.py:2649(make_block)
    58783    0.319    0.000   57.371    0.001 indexing.py:74(__getitem__)
    58783    0.550    0.000   56.989    0.001 indexing.py:999(_getitem_axis)
    80758    0.451    0.000   56.846    0.001 internals.py:4910(concatenate_join_units)
  3324014   14.560    0.000   53.904    0.000 __init__.py:490(formatTime)
    58783    1.460    0.000   53.289    0.001 indexing.py:1034(_getitem_iterable)
   604434   21.311    0.000   51.692    0.000 internals.py:2841(_rebuild_blknos_and_blklocs)
   379064    1.739    0.000   51.144    0.000 series.py:252(from_array)
   200214    0.969    0.000   50.834    0.000 series.py:2360(reindex)
  8592240    8.819    0.000   49.734    0.000 common.py:102(is_categorical_dtype)
    69024    1.434    0.000   48.574    0.001 indexing.py:894(_getitem_lowerdim)
237629/237628    2.908    0.000   47.746    0.000 <frozen importlib._bootstrap>:958(_find_and_load)
815989/654501    0.938    0.000   47.174    0.000 missing.py:27(isnull)
815989/654501    2.592    0.000   46.374    0.000 missing.py:48(_isnull_new)
  5315681    6.014    0.000   45.787    0.000 common.py:69(is_datetimetz)
   129579    1.124    0.000   45.466    0.000 indexing.py:1447(_getitem_axis)
    40372    0.177    0.000   45.293    0.001 missing.py:186(notnull)
  1662072    6.944    0.000   45.197    0.000 __init__.py:964(flush)
    58783    0.373    0.000   45.195    0.001 tweetProcessor.py:387(remove_emojis)
   100932    2.050    0.000   44.335    0.000 internals.py:2978(apply)
   952697    5.230    0.000   44.275    0.000 base.py:1643(equals)
   141435    1.172    0.000   42.353    0.000 frame.py:4223(<genexpr>)
   968010   10.479    0.000   41.829    0.000 cast.py:765(_possibly_cast_to_datetime)
  8027203    8.724    0.000   41.674    0.000 common.py:89(is_datetime64tz_dtype)
 34972953   37.597    0.000   40.338    0.000 {built-in method builtins.hasattr}
    78970    0.724    0.000   40.074    0.001 internals.py:4259(create_block_manager_from_arrays)
  1143318    7.029    0.000   39.775    0.000 internals.py:4031(__init__)
   117566    1.913    0.000   39.169    0.000 threading.py:828(start)
50538306/41516890   25.455    0.000   39.064    0.000 {built-in method builtins.len}
  1187540   37.277    0.000   38.664    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
   159705   14.237    0.000   38.634    0.000 treetaggerwrapper.py:1593(_prepare_part)
28979517/28910493   31.012    0.000   37.844    0.000 {built-in method builtins.getattr}
  1192150    6.599    0.000   37.511    0.000 common.py:320(_coerce_to_dtype)
    58783    0.320    0.000   37.298    0.001 series.py:2376(reindex_axis)
   475259    1.405    0.000   36.845    0.000 frame.py:2061(_getitem_column)
 19534114   15.029    0.000   36.387    0.000 generic.py:7(_check)
237629/237628    2.419    0.000   36.061    0.000 <frozen importlib._bootstrap>:931(_find_and_load_unlocked)
    85957    0.615    0.000   35.738    0.000 indexing.py:1599(_getitem_axis)
    58783    1.652    0.000   35.672    0.001 tweetProcessor.py:146(filter_words_only)
   475259    2.421    0.000   35.440    0.000 generic.py:1381(_get_item_cache)
   129579    0.420    0.000   35.224    0.000 indexing.py:89(_get_label)
    20187    0.062    0.000   34.750    0.002 frame.py:4437(join)
   129579    2.677    0.000   34.718    0.000 generic.py:1679(xs)
    20187    0.212    0.000   34.689    0.002 frame.py:4557(_join_compat)
    20187    0.145    0.000   34.373    0.002 merge.py:53(merge)
    20187    0.522    0.000   33.519    0.002 merge.py:545(get_result)
   834769    1.751    0.000   32.646    0.000 generic.py:2795(_consolidate_inplace)
   237629    5.864    0.000   32.616    0.000 <frozen importlib._bootstrap>:861(_find_spec)
   866868    7.962    0.000   32.607    0.000 cast.py:227(_maybe_promote)
  1662007   32.502    0.000   32.502    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
    40372    0.236    0.000   32.438    0.001 internals.py:3155(isnull)
    58783    0.619    0.000   31.557    0.001 generic.py:2261(_reindex_axes)
   915519    2.562    0.000   31.525    0.000 generic.py:2785(_protect_consolidate)
  9470933   20.572    0.000   31.093    0.000 common.py:357(_get_dtype_type)
    78970    3.706    0.000   30.009    0.000 internals.py:4270(form_blocks)
   873976    1.483    0.000   29.974    0.000 internals.py:3529(_consolidate_inplace)
    78972    1.433    0.000   29.368    0.000 generic.py:2350(_reindex_with_indexers)
   596075    1.945    0.000   29.169    0.000 generic.py:131(_validate_dtype)
   521458    0.772    0.000   28.882    0.000 html5parser.py:219(normalizedTokens)
   834769    2.555    0.000   28.034    0.000 generic.py:2798(f)
  5684956    9.092    0.000   27.809    0.000 {pandas.lib.values_from_object}
8240233/7962232   23.600    0.000   27.750    0.000 {built-in method numpy.core.multiarray.array}
  1690520   27.633    0.000   27.633    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
    28652    0.286    0.000   27.244    0.001 frame.py:2405(__setitem__)
    28652    0.313    0.000   26.391    0.001 frame.py:2473(_set_item)
    58785    0.588    0.000   26.205    0.000 merge.py:1664(_get_new_axes)
    40372    0.069    0.000   26.179    0.001 indexing.py:794(_getitem_tuple)
   521458    4.518    0.000   25.899    0.000 _tokenizer.py:49(__iter__)
  2993963   14.079    0.000   25.635    0.000 generic.py:2746(__setattr__)
    78972    1.220    0.000   25.260    0.000 base.py:1440(append)
    80758    3.874    0.000   24.657    0.000 internals.py:4830(get_empty_dtype_and_na)
   915924    2.766    0.000   24.544    0.000 common.py:301(is_extension_type)
    28652    0.099    0.000   24.421    0.001 indexing.py:1558(_getitem_tuple)
    67007   24.323    0.000   24.323    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
   166403    0.335    0.000   24.090    0.000 generic.py:2803(consolidate)
  2590816    3.832    0.000   23.882    0.000 common.py:64(is_categorical)
  3324014   23.359    0.000   23.359    0.000 {built-in method time.strftime}
  2275012    9.642    0.000   23.104    0.000 internals.py:96(__init__)
   834769    1.290    0.000   23.022    0.000 internals.py:3513(consolidate)
   237629    0.715    0.000   22.932    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
    80758    0.504    0.000   22.673    0.000 internals.py:4920(<listcomp>)
   237629    2.147    0.000   22.218    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
   998806    7.195    0.000   22.207    0.000 common.py:365(_asarray_tuplesafe)
   333398    1.738    0.000   22.169    0.000 internals.py:5170(get_reindexed_values)
    28652    0.208    0.000   22.121    0.001 generic.py:1499(_set_item)
    28652    0.612    0.000   21.823    0.001 internals.py:3636(set)
  2069345    9.075    0.000   21.586    0.000 internals.py:2786(shape)
  1662001   10.620    0.000   21.273    0.000 __init__.py:1369(findCaller)
    58785    0.430    0.000   21.129    0.000 merge.py:1700(_get_concat_axis)
  3175237    2.361    0.000   21.098    0.000 numeric.py:463(asarray)
    20185    0.410    0.000   21.038    0.001 frame.py:5497(_to_arrays)
    78970    1.073    0.000   20.659    0.000 frame.py:5689(_homogenize)
  1662007   19.973    0.000   20.575    0.000 {method 'seek' of '_io.TextIOWrapper' objects}
    20187    0.253    0.000   20.518    0.001 generic.py:2387(filter)
    58785    0.256    0.000   20.467    0.000 merge.py:1756(_concat_indexes)
    20185    1.139    0.000   20.377    0.001 frame.py:5601(_list_of_series_to_arrays)
    89212    1.558    0.000   20.311    0.000 internals.py:4511(_consolidate)
  1168729    7.633    0.000   20.237    0.000 internals.py:1811(__init__)
  1847999    2.720    0.000   20.001    0.000 {method 'any' of 'numpy.ndarray' objects}
   117761    1.271    0.000   19.926    0.000 threading.py:533(wait)
    20187    0.117    0.000   19.879    0.001 frame.py:2818(reindex)
    58783    1.409    0.000   19.581    0.000 tweetProcessor.py:116(remove_user_mentions_hashtags)
    78972    0.969    0.000   19.385    0.000 base.py:2496(reindex)
    40372    0.354    0.000   19.307    0.000 generic.py:5618(stat_func)
    58785    0.804    0.000   19.221    0.000 frame.py:5411(extract_index)
  1027617    3.811    0.000   19.198    0.000 internals.py:208(make_block_same_class)
   137765    3.469    0.000   19.109    0.000 concat.py:24(get_dtype_kinds)
    28652    1.272    0.000   19.014    0.001 internals.py:3748(insert)
   237630    5.492    0.000   18.564    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
    40372    0.570    0.000   18.439    0.000 frame.py:4928(_reduce)
    20187    0.157    0.000   18.347    0.001 frame.py:2755(_reindex_axes)
   796295    4.732    0.000   18.313    0.000 missing.py:245(array_equivalent)
    58783    1.133    0.000   18.294    0.000 tweetProcessor.py:359(remove_candidates_names)
    78970    1.191    0.000   18.230    0.000 internals.py:3856(_slice_take_blocks_ax0)
  2656019    3.651    0.000   18.205    0.000 common.py:54(is_object_dtype)
    20187    0.136    0.000   18.190    0.001 frame.py:2780(_reindex_columns)
   117105    1.497    0.000   18.013    0.000 threading.py:263(wait)
  2178478    2.807    0.000   17.668    0.000 common.py:98(is_period_dtype)
  2095455   17.519    0.000   17.519    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   117566   17.463    0.000   17.463    0.000 {built-in method _thread.start_new_thread}
  1848001    1.795    0.000   17.280    0.000 _methods.py:37(_any)
   257819    2.604    0.000   17.179    0.000 base.py:1506(take)
    57304    0.160    0.000   17.136    0.000 indexing.py:104(_get_loc)
  2154603    2.622    0.000   17.014    0.000 series.py:391(get_values)
    28652    0.641    0.000   16.575    0.001 frame.py:1953(_ixs)
    28652    0.201    0.000   16.514    0.001 groupby.py:4012(__iter__)
193664/181560    0.575    0.000   16.511    0.000 html5parser.py:410(processStartTag)
   470264    1.672    0.000   16.510    0.000 treetaggerwrapper.py:1772(build_with_callable)
 10648370   16.476    0.000   16.476    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
   161488    1.580    0.000   16.324    0.000 internals.py:346(apply)
    28651    0.210    0.000   16.239    0.001 groupby.py:4067(_chop)
  3324014   15.985    0.000   15.985    0.000 {built-in method time.localtime}
   586831   15.965    0.000   15.965    0.000 {method 'acquire' of '_thread.lock' objects}
   237631    1.846    0.000   15.962    0.000 internals.py:3536(get)
   371937    4.108    0.000   15.475    0.000 cast.py:672(_possibly_infer_to_datetimelike)
   368560    4.576    0.000   15.463    0.000 missing.py:120(_isnull_ndarraylike)
  2687839    2.674    0.000   15.431    0.000 base.py:3637(_ensure_index)
   215543    2.229    0.000   15.155    0.000 internals.py:4528(_merge_blocks)
    28653    0.213    0.000   15.133    0.001 indexing.py:1587(_get_slice_axis)
  2178478    6.031    0.000   14.861    0.000 dtypes.py:347(is_dtype)
    20186    0.173    0.000   14.618    0.001 generic.py:3057(copy)
   237631    1.568    0.000   14.610    0.000 frame.py:2393(_box_item_values)
  5223263    3.883    0.000   14.601    0.000 <frozen importlib._bootstrap>:989(_handle_fromlist)
  1648036    4.884    0.000   14.577    0.000 base.py:1131(_convert_scalar_indexer)
   875496   14.473    0.000   14.473    0.000 {method 'spell' of 'HunSpell' objects}
  1153599   14.007    0.000   14.469    0.000 {pandas.lib.infer_dtype}
    78972    0.333    0.000   14.455    0.000 base.py:1478(_append_same_dtype)
  2154603    5.555    0.000   14.392    0.000 internals.py:4177(get_values)
  3846065    4.576    0.000   14.174    0.000 series.py:333(dtype)
    58793    0.667    0.000   14.154    0.000 concat.py:99(_concat_compat)
    78972    1.230    0.000   14.122    0.000 concat.py:392(_concat_index_asobject)
    20186    0.146    0.000   14.105    0.001 internals.py:3364(copy)
    28652    0.503    0.000   14.006    0.000 base.py:3223(insert)
    28653    0.079    0.000   13.978    0.000 indexing.py:107(_slice)
   237632    7.186    0.000   13.923    0.000 indexing.py:1857(maybe_convert_indices)
        4    0.225    0.056   13.918    3.479 api.py:45(_union_indexes)
    28654    0.506    0.000   13.900    0.000 generic.py:1483(_slice)
   107624    0.665    0.000   13.889    0.000 base.py:379(_shallow_copy_with_infer)
   593436    2.347    0.000   13.609    0.000 treetaggerwrapper.py:2001(split_on_regexp)
  1567241    5.977    0.000   13.584    0.000 candidate.py:35(regex)
  1040468    5.163    0.000   13.169    0.000 numeric.py:2686(seterr)
   237629    1.413    0.000   13.164    0.000 indexing.py:1806(check_bool_indexer)
   178534    0.952    0.000   13.129    0.000 base.py:292(insertElementNormal)
   426007    4.113    0.000   13.091    0.000 internals.py:2966(_verify_integrity)
   117859    4.157    0.000   13.048    0.000 internals.py:3481(fast_xs)
   333398    1.598    0.000   12.860    0.000 internals.py:5141(is_null)
  2697620    4.496    0.000   12.798    0.000 common.py:81(is_datetime64_dtype)
  2011502    1.734    0.000   12.592    0.000 common.py:59(is_sparse)
  1059968    6.621    0.000   12.561    0.000 base.py:334(_simple_new)
  6149252    3.570    0.000   12.511    0.000 internals.py:2788(<genexpr>)
    28654    0.630    0.000   12.275    0.000 internals.py:3337(get_slice)
   741262   12.126    0.000   12.126    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
  1662001    4.301    0.000   12.115    0.000 posixpath.py:119(splitext)
  3324079    3.252    0.000   11.928    0.000 __init__.py:541(formatMessage)
    20189    0.149    0.000   11.507    0.001 internals.py:4820(<listcomp>)
    89211    5.130    0.000   11.358    0.000 internals.py:4935(get_mgr_concatenation_plan)
   915553    3.317    0.000   11.292    0.000 common.py:194(is_bool_indexer)
  1143318    6.154    0.000   11.196    0.000 series.py:286(_set_axis)
    40373    0.201    0.000   11.149    0.000 generic.py:805(__invert__)
  2412397   11.021    0.000   11.021    0.000 {built-in method numpy.core.multiarray.empty}
   407590    2.156    0.000   10.890    0.000 base.py:371(_shallow_copy)
   220401    0.672    0.000   10.863    0.000 generic.py:2244(<listcomp>)
   237631    0.886    0.000   10.849    0.000 frame.py:2400(_box_col_values)
   718272    0.567    0.000   10.848    0.000 tweetProcessor.py:376(is_correctly_spelled)
  3324079    3.605    0.000   10.337    0.000 __init__.py:535(usesTime)
  1461153   10.327    0.000   10.327    0.000 {method 'get_value' of 'pandas.index.IndexEngine' objects}
  1662001    5.562    0.000   10.307    0.000 posixpath.py:142(basename)
   237631    2.790    0.000   10.164    0.000 internals.py:3565(iget)
        2   10.006    5.003   10.006    5.003 {built-in method time.sleep}
  1918798    2.795    0.000    9.858    0.000 generic.py:353(_get_axis)
   754750    3.934    0.000    9.781    0.000 dtypes.py:221(construct_from_string)
  3846065    5.540    0.000    9.598    0.000 internals.py:4147(dtype)
   119346    1.575    0.000    9.411    0.000 base.py:2217(get_indexer)
   543873    2.779    0.000    9.377    0.000 internals.py:3257(_consolidate_check)
    40372    0.192    0.000    9.357    0.000 frame.py:4932(f)
  2275014    5.390    0.000    9.257    0.000 internals.py:216(mgr_locs)
8112390/8112388    6.942    0.000    9.244    0.000 base.py:491(__len__)
   220401    0.614    0.000    9.208    0.000 base.py:1663(identical)
    40372    0.582    0.000    9.165    0.000 nanops.py:41(_f)
    20187    0.090    0.000    8.879    0.000 internals.py:4686(items_overlap_with_suffix)
   237626    1.396    0.000    8.878    0.000 range.py:249(_shallow_copy)
   828078    1.461    0.000    8.835    0.000 common.py:106(is_string_dtype)
    20187    0.603    0.000    8.748    0.000 base.py:1905(intersection)
    40372    0.360    0.000    8.746    0.000 generic.py:949(__array_wrap__)
  3324079    8.677    0.000    8.677    0.000 __init__.py:385(format)
   520234    1.977    0.000    8.621    0.000 numeric.py:3088(__exit__)
  3814748    5.512    0.000    8.454    0.000 __init__.py:1537(isEnabledFor)
   681029    1.132    0.000    8.380    0.000 common.py:170(is_datetime64_any_dtype)
   176349    0.982    0.000    8.321    0.000 ast.py:40(literal_eval)
  1838259    4.168    0.000    8.124    0.000 series.py:322(name)
24780053/24779921    7.896    0.000    7.900    0.000 {built-in method builtins.issubclass}
   520234    1.360    0.000    7.886    0.000 numeric.py:3083(__enter__)
  3103193    4.422    0.000    7.867    0.000 base.py:522(values)
    28652    0.242    0.000    7.861    0.000 base.py:622(_coerce_scalar_to_index)
   197676    0.604    0.000    7.858    0.000 base.py:318(insertText)
   535827    1.831    0.000    7.649    0.000 function.py:37(__call__)
  1895025    2.208    0.000    7.644    0.000 series.py:386(_values)
  5663505    7.614    0.000    7.614    0.000 {method 'view' of 'numpy.ndarray' objects}
   141433    7.612    0.000    7.612    0.000 {pandas.lib.fast_multiget}
  2024053    2.717    0.000    7.304    0.000 common.py:93(is_timedelta64_dtype)
  1049546    4.384    0.000    7.208    0.000 base.py:1392(__contains__)
   379236    2.250    0.000    7.198    0.000 _html5lib.py:230(appendChild)
   197676    0.731    0.000    7.189    0.000 _html5lib.py:313(insertText)
   356461    7.105    0.000    7.105    0.000 {pandas.algos.take_2d_axis0_int64_int64}
    40374    0.501    0.000    6.955    0.000 frame.py:404(_init_ndarray)
   129579    0.910    0.000    6.948    0.000 indexing.py:1371(_has_valid_type)
    40372    0.254    0.000    6.801    0.000 nanops.py:76(f)
  3324079    3.777    0.000    6.733    0.000 __init__.py:382(usesTime)
  1629887    6.730    0.000    6.730    0.000 generic.py:114(__init__)
  1662001    5.129    0.000    6.663    0.000 genericpath.py:117(_splitext)
    40372    0.294    0.000    6.535    0.000 nanops.py:271(nansum)
   237629    1.282    0.000    6.484    0.000 <frozen importlib._bootstrap>:146(__enter__)
   735900    2.546    0.000    6.471    0.000 base.py:1406(__getitem__)
     3029    0.015    0.000    6.340    0.002 client.py:1236(request)
     3029    0.058    0.000    6.325    0.002 client.py:1241(_send_request)
   543873    1.715    0.000    6.307    0.000 internals.py:3258(<listcomp>)
   237636    0.449    0.000    6.188    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
  3324144    3.525    0.000    6.082    0.000 __init__.py:802(acquire)
    80750    0.349    0.000    6.043    0.000 generic.py:2868(as_matrix)
     3029    0.013    0.000    6.027    0.002 client.py:1223(endheaders)
     3029    0.020    0.000    6.014    0.002 client.py:1017(_send_output)
     3029    0.035    0.000    5.990    0.002 client.py:956(send)
  1253495    1.426    0.000    5.939    0.000 inference.py:53(is_list_like)
  1662001    3.187    0.000    5.902    0.000 posixpath.py:50(normcase)
  1567250    1.552    0.000    5.879    0.000 re.py:231(compile)
    20185    0.412    0.000    5.853    0.000 frame.py:5650(_convert_object_array)
   754750    3.449    0.000    5.847    0.000 dtypes.py:170(__new__)
     3029    0.043    0.000    5.834    0.002 client.py:933(connect)
   535829    1.984    0.000    5.817    0.000 validators.py:129(validate_kwargs)
  2154603    2.378    0.000    5.780    0.000 internals.py:163(to_dense)
   239036    5.771    0.000    5.771    0.000 {built-in method posix.stat}
     3029    0.045    0.000    5.771    0.002 socket.py:688(create_connection)
  2283875    5.731    0.000    5.731    0.000 dtypes.py:132(construct_from_string)
  1938991    4.006    0.000    5.600    0.000 generic.py:340(_get_axis_name)
   633494    1.688    0.000    5.581    0.000 base.py:2104(get_loc)
   316303    5.504    0.000    5.504    0.000 {built-in method pandas.lib.list_to_object_array}
  1188153    2.096    0.000    5.485    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
   117566    1.881    0.000    5.470    0.000 threading.py:757(__init__)
  1895025    3.366    0.000    5.435    0.000 internals.py:4174(internal_values)
    20185    0.084    0.000    5.379    0.000 frame.py:5666(<listcomp>)
  4126882    3.738    0.000    5.362    0.000 _inputstream.py:240(char)
    40372    0.427    0.000    5.320    0.000 generic.py:3007(astype)
    80740    0.256    0.000    5.296    0.000 frame.py:5660(convert)
  1699320    5.240    0.000    5.240    0.000 generic.py:2730(__getattr__)
  8490682    5.169    0.000    5.169    0.000 {method 'get' of 'dict' objects}
     3441    0.988    0.000    5.155    0.001 tweetProcessor.py:336(typo_correction)
  1040468    4.825    0.000    5.129    0.000 numeric.py:2786(geterr)
  1592590    1.455    0.000    5.115    0.000 base.py:527(get_values)
   176349    0.279    0.000    5.045    0.000 ast.py:30(parse)
  2138634    3.379    0.000    5.021    0.000 range.py:458(__len__)
    40374    0.318    0.000    5.009    0.000 internals.py:4236(create_block_manager_from_blocks)
   181560    1.522    0.000    4.945    0.000 _html5lib.py:120(elementClass)
     6052    0.037    0.000    4.943    0.001 element.py:1273(find)
   351665    0.582    0.000    4.941    0.000 common.py:264(needs_i8_conversion)
     3029    0.037    0.000    4.925    0.002 socket.py:726(getaddrinfo)
     6052    0.037    0.000    4.904    0.001 element.py:1284(find_all)
    28654    0.246    0.000    4.870    0.000 internals.py:3347(<listcomp>)
     6052    0.408    0.000    4.867    0.001 element.py:518(_find_all)
    80750    0.276    0.000    4.854    0.000 internals.py:3391(as_matrix)
     3029    4.686    0.002    4.812    0.002 {built-in method _socket.getaddrinfo}
  3324079    4.793    0.000    4.793    0.000 __init__.py:324(getMessage)
  1662007    4.768    0.000    4.768    0.000 {method 'tell' of '_io.TextIOWrapper' objects}
   176349    4.766    0.000    4.766    0.000 {built-in method builtins.compile}
   622838    3.478    0.000    4.731    0.000 base.py:606(_get_attributes_dict)
  2434462    3.111    0.000    4.714    0.000 common.py:333(_get_dtype)
   158759    0.167    0.000    4.694    0.000 treetaggerwrapper.py:1961(split_dns)
    20187    0.058    0.000    4.669    0.000 api.py:25(_get_combined_index)
    20186    0.048    0.000    4.662    0.000 internals.py:3385(<listcomp>)
   186883    0.889    0.000    4.658    0.000 indexing.py:192(_convert_scalar_indexer)
   114616    1.113    0.000    4.624    0.000 internals.py:269(getitem_block)
    40372    0.101    0.000    4.614    0.000 internals.py:3382(<lambda>)
