         1213211836 function calls (1200671572 primitive calls) in 4437.224 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      4/1    0.002    0.000 4437.238 4437.238 {built-in method builtins.exec}
        1    0.609    0.609 4437.236 4437.236 <string>:2(<module>)
        2    0.789    0.395 4015.238 2007.619 frame.py:4065(apply)
        2    1.668    0.834 4014.449 2007.225 frame.py:4182(_apply_standard)
    75918   12.305    0.000 3813.062    0.050 tweetProcessor.py:65(process)
    75918   15.752    0.000 1840.505    0.024 tweetProcessor.py:395(score)
   349836   13.312    0.000  852.461    0.002 ops.py:803(wrapper)
    75920    1.679    0.000  818.596    0.011 tweetProcessor.py:288(correct)
     4422    0.313    0.000  777.272    0.176 tweetProcessor.py:171(translate_online)
   349836    2.863    0.000  710.317    0.002 ops.py:749(na_op)
   300482    1.930    0.000  697.181    0.002 ops.py:727(_comp_method_OBJECT_ARRAY)
   300482  629.989    0.002  693.009    0.002 {pandas.lib.scalar_compare}
     4336    0.033    0.000  669.362    0.154 request.py:140(urlopen)
     4336    0.095    0.000  669.302    0.154 request.py:508(open)
     4336    0.025    0.000  668.521    0.154 request.py:536(_open)
     8672    0.026    0.000  668.496    0.077 request.py:497(_call_chain)
     4336    0.035    0.000  668.461    0.154 request.py:1345(http_open)
     4336    0.216    0.000  668.426    0.154 request.py:1276(do_open)
     4336    0.090    0.000  660.902    0.152 client.py:1287(getresponse)
     4336    0.172    0.000  660.503    0.152 client.py:290(begin)
     4336    0.256    0.000  656.955    0.152 client.py:257(_read_status)
    65411    0.306    0.000  656.856    0.010 {method 'readline' of '_io.BufferedReader' objects}
     4336    0.052    0.000  656.550    0.151 socket.py:572(readinto)
     4336  656.475    0.151  656.475    0.151 {method 'recv_into' of '_socket.socket' objects}
  2694911   12.638    0.000  542.276    0.000 __init__.py:1414(_log)
   151836  520.437    0.003  520.437    0.003 {method 'findall' of '_regex.Pattern' objects}
  4981960   12.260    0.000  462.020    0.000 __init__.py:1279(debug)
        2    0.365    0.183  421.275  210.638 groupby.py:633(apply)
        2    0.002    0.001  420.909  210.455 groupby.py:696(_python_apply_general)
  2694911    7.043    0.000  371.750    0.000 __init__.py:1439(handle)
  2694911   15.939    0.000  362.231    0.000 __init__.py:1493(callHandlers)
   151836    6.013    0.000  356.966    0.002 tweetProcessor.py:239(tag)
        2    0.197    0.099  352.204  176.102 groupby.py:1585(apply)
   151836   19.802    0.000  346.769    0.002 treetaggerwrapper.py:1240(tag_text)
  2695008   10.077    0.000  346.291    0.000 __init__.py:845(handle)
   901457   10.635    0.000  340.920    0.000 frame.py:2035(__getitem__)
  2694920    8.401    0.000  326.207    0.000 handlers.py:63(emit)
        2    0.000    0.000  295.302  147.651 groupby.py:4054(fast_apply)
        2    0.584    0.292  294.858  147.429 {pandas.lib.apply_frame_axis0}
  1395450   22.048    0.000  278.421    0.000 series.py:135(__init__)
    24677    0.063    0.000  275.852    0.011 <string>:6(<lambda>)
    24677    1.414    0.000  275.788    0.011 <ipython-input-3-11ad5caad0fb>:9(propagate_score)
   300485    4.423    0.000  272.644    0.001 frame.py:2078(_getitem_array)
   300488    7.229    0.000  237.149    0.001 generic.py:1650(take)
    75918    5.870    0.000  203.890    0.003 tweetProcessor.py:133(find_relevant_words)
   300488    6.781    0.000  193.712    0.001 internals.py:3943(take)
