         1077982677 function calls (1065954259 primitive calls) in 3003.905 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       66    0.000    0.000   50.414    0.764 {method 'readline' of '_io.BufferedReader' objects}
        9    0.000    0.000   50.414    5.602 socket.py:572(readinto)
        9   50.414    5.602   50.414    5.602 {method 'recv_into' of '_socket.socket' objects}
    68177    1.391    0.000   48.245    0.001 indexing.py:1034(_getitem_iterable)
  2638662   13.200    0.000   47.636    0.000 internals.py:2649(make_block)
   289281    3.094    0.000   47.478    0.000 <frozen importlib._bootstrap>:958(_find_and_load)
  1518420    7.913    0.000   46.684    0.000 base.py:2146(get_value)
    23662    0.755    0.000   45.386    0.002 internals.py:4823(<listcomp>)
  9773644    7.876    0.000   44.344    0.000 common.py:102(is_categorical_dtype)
    47318    0.164    0.000   43.752    0.001 missing.py:186(notnull)
947360/758088    0.889    0.000   43.162    0.000 missing.py:27(isnull)
   118297    2.054    0.000   42.958    0.000 internals.py:2978(apply)
    68177    0.433    0.000   42.927    0.001 tweetProcessor.py:383(remove_emojis)
   204529    0.754    0.000   42.500    0.000 series.py:2360(reindex)
947360/758088    2.302    0.000   42.406    0.000 missing.py:48(_isnull_new)
   701655   17.249    0.000   42.217    0.000 internals.py:2841(_rebuild_blknos_and_blklocs)
    94650    0.420    0.000   40.642    0.000 internals.py:4910(concatenate_join_units)
   174240    1.101    0.000   40.383    0.000 indexing.py:1447(_getitem_axis)
    68177    2.067    0.000   39.683    0.001 tweetProcessor.py:145(filter_words_only)
  6044842    5.298    0.000   38.434    0.000 common.py:69(is_datetimetz)
   437551    1.631    0.000   37.538    0.000 series.py:252(from_array)
   178483   14.585    0.000   37.465    0.000 treetaggerwrapper.py:1593(_prepare_part)
    75291    0.093    0.000   36.580    0.000 indexing.py:794(_getitem_tuple)
  1354421   34.845    0.000   36.214    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
    91837    0.676    0.000   36.058    0.000 internals.py:4259(create_block_manager_from_arrays)
   578569    1.494    0.000   35.880    0.000 frame.py:2061(_getitem_column)
   289281    2.254    0.000   35.429    0.000 <frozen importlib._bootstrap>:931(_find_and_load_unlocked)
   578569    2.507    0.000   34.386    0.000 generic.py:1381(_get_item_cache)
  9200257    5.743    0.000   34.271    0.000 common.py:89(is_datetime64tz_dtype)
  1043928    4.172    0.000   34.085    0.000 base.py:1643(equals)
   136354    2.166    0.000   34.005    0.000 threading.py:828(start)
55546437/45149098   22.221    0.000   33.973    0.000 {built-in method builtins.len}
    68177    0.313    0.000   33.719    0.000 series.py:2376(reindex_axis)
    23660    0.051    0.000   33.666    0.001 frame.py:4437(join)
    23660    0.193    0.000   33.614    0.001 frame.py:4557(_join_compat)
    23660    0.154    0.000   33.304    0.001 merge.py:53(merge)
    23660    0.521    0.000   32.465    0.001 merge.py:545(get_result)
   289281    5.892    0.000   32.307    0.000 <frozen importlib._bootstrap>:861(_find_spec)
 40920454   28.956    0.000   31.986    0.000 {built-in method builtins.hasattr}
  1120762    9.185    0.000   31.685    0.000 cast.py:765(_possibly_cast_to_datetime)
  1324368    5.924    0.000   31.469    0.000 internals.py:4031(__init__)
33155165/33023926   25.641    0.000   31.443    0.000 {built-in method builtins.getattr}
    47318    0.233    0.000   31.337    0.001 internals.py:3155(isnull)
  1415882    5.665    0.000   30.963    0.000 common.py:320(_coerce_to_dtype)
 22324195   12.718    0.000   30.570    0.000 generic.py:7(_check)
   174240    0.421    0.000   30.464    0.000 indexing.py:89(_get_label)
   174240    2.550    0.000   30.008    0.000 generic.py:1679(xs)
  1003694    6.684    0.000   28.689    0.000 cast.py:227(_maybe_promote)
   148268    0.794    0.000   28.532    0.000 frame.py:4223(<genexpr>)
    68177    0.576    0.000   28.384    0.000 generic.py:2261(_reindex_axes)
   139872    0.619    0.000   28.213    0.000 indexing.py:1599(_getitem_axis)
  4925724   27.619    0.000   27.619    0.000 {built-in method time.strftime}
    91839    1.319    0.000   26.877    0.000 generic.py:2350(_reindex_with_indexers)
  2462862   12.901    0.000   26.746    0.000 __init__.py:1369(findCaller)
    91837    3.160    0.000   26.125    0.000 internals.py:4270(form_blocks)
  2462862   24.789    0.000   25.598    0.000 {method 'seek' of '_io.TextIOWrapper' objects}
 10653382   16.809    0.000   25.533    0.000 common.py:357(_get_dtype_type)
    55948    0.106    0.000   24.240    0.000 indexing.py:1558(_getitem_tuple)
   707941    1.591    0.000   23.382    0.000 generic.py:131(_validate_dtype)
9224835/8888233   19.182    0.000   22.897    0.000 {built-in method numpy.core.multiarray.array}
   289281    0.622    0.000   22.353    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
  3576849   12.460    0.000   22.142    0.000 generic.py:2746(__setattr__)
    91839    1.120    0.000   22.135    0.000 base.py:1440(append)
  1033948    1.302    0.000   22.078    0.000 internals.py:3529(_consolidate_inplace)
    68179    0.590    0.000   21.796    0.000 merge.py:1664(_get_new_axes)
    74747   21.781    0.000   21.781    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
   289281    2.257    0.000   21.731    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
  6191751    7.021    0.000   21.062    0.000 {pandas.lib.values_from_object}
   136615    1.400    0.000   20.950    0.000 threading.py:533(wait)
  1054107    2.144    0.000   20.370    0.000 common.py:301(is_extension_type)
  2939651    3.140    0.000   19.744    0.000 common.py:64(is_categorical)
    23660    0.242    0.000   19.536    0.001 generic.py:2387(filter)
    23658    0.375    0.000   19.487    0.001 frame.py:5497(_to_arrays)
   974349    1.311    0.000   19.147    0.000 generic.py:2795(_consolidate_inplace)
  2638662    8.178    0.000   19.100    0.000 internals.py:96(__init__)
    23660    0.120    0.000   18.914    0.001 frame.py:2818(reindex)
