         2489008691 function calls (2462086321 primitive calls) in 9491.630 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.004    0.004 9491.654 9491.654 {built-in method builtins.exec}
        1   11.526   11.526 9491.650 9491.650 <string>:2(<module>)
        2    4.739    2.369 8550.453 4275.226 frame.py:4065(apply)
        2    3.963    1.981 8545.714 4272.857 frame.py:4182(_apply_standard)
   161771   24.027    0.000 8033.811    0.050 tweetProcessor.py:65(process)
   161771   33.047    0.000 4369.741    0.027 tweetProcessor.py:399(score)
   739265   28.673    0.000 2252.491    0.003 ops.py:803(wrapper)
   739265    6.171    0.000 1948.489    0.003 ops.py:749(na_op)
   642505    3.939    0.000 1922.301    0.003 ops.py:727(_comp_method_OBJECT_ARRAY)
   642505 1783.965    0.003 1913.971    0.003 {pandas.lib.scalar_compare}
   161771    3.365    0.000 1537.661    0.010 tweetProcessor.py:292(correct)
     8116    0.558    0.000 1446.930    0.178 tweetProcessor.py:172(translate_online)
     7929    0.065    0.000 1234.124    0.156 request.py:140(urlopen)
     7929    0.175    0.000 1234.059    0.156 request.py:508(open)
     7929    0.047    0.000 1232.580    0.155 request.py:536(_open)
    15858    0.047    0.000 1232.533    0.078 request.py:497(_call_chain)
     7929    0.070    0.000 1232.467    0.155 request.py:1345(http_open)
     7929    0.384    0.000 1232.397    0.155 request.py:1276(do_open)
     7929    0.177    0.000 1216.987    0.153 client.py:1287(getresponse)
     7929    0.319    0.000 1216.208    0.153 client.py:290(begin)
   119699    0.590    0.000 1209.411    0.010 {method 'readline' of '_io.BufferedReader' objects}
     7929    0.367    0.000 1209.171    0.152 client.py:257(_read_status)
     7931    0.087    0.000 1208.821    0.152 socket.py:572(readinto)
     7931 1208.689    0.152 1208.689    0.152 {method 'recv_into' of '_socket.socket' objects}
   323542 1123.820    0.003 1123.820    0.003 {method 'findall' of '_regex.Pattern' objects}
        2    1.487    0.744  928.556  464.278 groupby.py:633(apply)
        2    0.010    0.005  927.061  463.530 groupby.py:696(_python_apply_general)
  4523157   19.900    0.000  861.846    0.000 __init__.py:1414(_log)
   323542   12.789    0.000  766.541    0.002 tweetProcessor.py:240(tag)
        2    0.580    0.290  753.005  376.503 groupby.py:1585(apply)
   323542   41.471    0.000  744.769    0.002 treetaggerwrapper.py:1240(tag_text)
  1927526   22.934    0.000  737.818    0.000 frame.py:2035(__getitem__)
  9382598   19.437    0.000  699.942    0.000 __init__.py:1279(debug)
  3027530   49.464    0.000  617.120    0.000 series.py:135(__init__)
        2    0.002    0.001  598.978  299.489 groupby.py:4054(fast_apply)
        2    1.370    0.685  596.734  298.367 {pandas.lib.apply_frame_axis0}
   642508    9.346    0.000  593.070    0.001 frame.py:2078(_getitem_array)
  4523157   10.446    0.000  588.623    0.000 __init__.py:1439(handle)
  4523157   22.755    0.000  573.790    0.000 __init__.py:1493(callHandlers)
    48380    0.126    0.000  559.418    0.012 <string>:6(<lambda>)
    48380    2.902    0.000  559.293    0.012 <ipython-input-19-11ad5caad0fb>:9(propagate_score)
  4523362   15.781    0.000  551.035    0.000 __init__.py:845(handle)
   642511   16.547    0.000  518.702    0.001 generic.py:1650(take)
  4523174   14.063    0.000  518.409    0.000 handlers.py:63(emit)
   642511   15.891    0.000  422.272    0.001 internals.py:3943(take)
   161773    2.017    0.000  411.346    0.003 merge.py:1396(concat)
  9452762  375.534    0.000  375.534    0.000 {method 'readline' of '_io._IOBase' objects}
   852664   12.275    0.000  365.171    0.000 internals.py:3813(reindex_indexer)
  1259970   10.491    0.000  353.825    0.000 frame.py:252(__init__)
  4020609   18.587    0.000  341.663    0.000 series.py:600(__getitem__)
   227048   10.230    0.000  316.244    0.001 tweetProcessor.py:263(candidate_reference)
410583824  175.307    0.000  263.276    0.000 {built-in method builtins.isinstance}
  9046536   11.974    0.000  259.791    0.000 __init__.py:822(format)
  4523174    6.553    0.000  251.996    0.000 __init__.py:1056(emit)
  4523174   27.455    0.000  249.707    0.000 handlers.py:177(shouldRollover)
  9046536   41.166    0.000  247.794    0.000 __init__.py:557(format)
  4523362   15.586    0.000  246.431    0.000 __init__.py:975(emit)
  2320004   24.658    0.000  243.292    0.000 series.py:2817(_sanitize_array)
   161771    1.483    0.000  241.895    0.001 series.py:1530(append)
  2411757   43.280    0.000  239.334    0.000 algorithms.py:1010(take_nd)
2519641/1738636   49.462    0.000  224.715    0.000 base.py:142(__new__)
   161773    7.962    0.000  222.706    0.001 merge.py:1460(__init__)
  1543572   16.114    0.000  222.240    0.000 internals.py:1001(take_nd)
    96758    1.764    0.000  222.162    0.002 frame.py:3852(first_valid_index)
   210151    1.530    0.000  219.008    0.001 frame.py:5391(_arrays_to_mgr)
   161773    7.468    0.000  207.686    0.001 frame.py:349(_init_dict)
  1066627    5.021    0.000  206.907    0.000 __init__.py:1291(info)
  4523157   13.237    0.000  199.656    0.000 __init__.py:1399(makeRecord)
   642513    4.854    0.000  198.685    0.000 internals.py:3848(<listcomp>)
     7929    0.439    0.000  197.081    0.025 __init__.py:87(__init__)
     7929    0.070    0.000  195.952    0.025 __init__.py:285(_feed)
     7929    0.189    0.000  195.870    0.025 _html5lib.py:61(feed)
 48468409   79.099    0.000  191.140    0.000 dtypes.py:74(is_dtype)
   598968    8.069    0.000  190.530    0.000 generic.py:2224(reindex)
