         5664427576 function calls (5584511382 primitive calls) in 14314.060 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      4/1    0.003    0.001 14314.071 14314.071 {built-in method builtins.exec}
        1    6.092    6.092 14314.068 14314.068 <string>:2(<module>)
        6    7.090    1.182 11774.105 1962.351 frame.py:4065(apply)
        6    9.774    1.629 11767.014 1961.169 frame.py:4182(_apply_standard)
   415969   66.648    0.000 10585.074    0.025 tweetProcessor.py:65(process)
   415969   45.544    0.000 5044.795    0.012 tweetProcessor.py:399(score)
        6    2.254    0.376 2463.776  410.629 groupby.py:633(apply)
        6    0.022    0.004 2461.518  410.253 groupby.py:696(_python_apply_general)
        6    1.599    0.266 1949.716  324.953 groupby.py:1585(apply)
   415969 1914.649    0.005 1914.649    0.005 {method 'findall' of '_regex.Pattern' objects}
   831938   31.556    0.000 1883.462    0.002 tweetProcessor.py:240(tag)
   831938  101.996    0.000 1830.805    0.002 treetaggerwrapper.py:1240(tag_text)
        6    0.000    0.000 1507.258  251.210 groupby.py:4054(fast_apply)
        6    2.977    0.496 1503.348  250.558 {pandas.lib.apply_frame_axis0}
   130958    0.310    0.000 1408.034    0.011 <string>:22(<lambda>)
   130958    7.503    0.000 1407.724    0.011 <ipython-input-2-11ad5caad0fb>:9(propagate_score)
   415969    7.729    0.000 1227.889    0.003 tweetProcessor.py:292(correct)
   470398   35.282    0.000 1182.511    0.003 groupby.py:3872(count)
  6677965   97.632    0.000 1165.091    0.000 series.py:135(__init__)
     5679    0.400    0.000 1061.442    0.187 tweetProcessor.py:172(translate_online)
   415984    3.972    0.000 1053.659    0.003 merge.py:1396(concat)
 24631998  957.792    0.000  957.792    0.000 {method 'readline' of '_io._IOBase' objects}
     5265    0.048    0.000  946.299    0.180 request.py:140(urlopen)
     5265    0.119    0.000  946.126    0.180 request.py:508(open)
     5265    0.028    0.000  945.206    0.180 request.py:536(_open)
    10530    0.033    0.000  945.178    0.090 request.py:497(_call_chain)
     5265    0.049    0.000  945.133    0.180 request.py:1345(http_open)
     5265    0.233    0.000  945.084    0.180 request.py:1276(do_open)
     5265    0.116    0.000  936.496    0.178 client.py:1287(getresponse)
     5265    0.210    0.000  936.004    0.178 client.py:290(begin)
     5265    0.252    0.000  931.524    0.177 client.py:257(_read_status)
    79464    0.368    0.000  931.451    0.012 {method 'readline' of '_io.BufferedReader' objects}
     5265    0.060    0.000  931.083    0.177 socket.py:572(readinto)
     5265  930.994    0.177  930.994    0.177 {method 'recv_into' of '_socket.socket' objects}
  2604720   29.613    0.000  899.298    0.000 frame.py:2035(__getitem__)
 12388726   48.732    0.000  839.375    0.000 series.py:600(__getitem__)
   831938   14.051    0.000  835.417    0.001 series.py:2440(isin)
  3930970   29.058    0.000  826.589    0.000 frame.py:252(__init__)
  2128458   26.758    0.000  805.981    0.000 generic.py:2224(reindex)
  1849293   19.682    0.000  745.581    0.000 internals.py:3813(reindex_indexer)
