         975501546 function calls (964668579 primitive calls) in 3851.388 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002 3851.397 3851.397 {built-in method builtins.exec}
        1    0.869    0.869 3851.395 3851.395 <string>:2(<module>)
        2    0.809    0.404 3454.738 1727.369 frame.py:4065(apply)
        2    1.660    0.830 3453.929 1726.965 frame.py:4182(_apply_standard)
    59188   10.475    0.000 3233.914    0.055 tweetProcessor.py:65(process)
    59188   14.044    0.000 1677.747    0.028 tweetProcessor.py:399(score)
   285125   11.338    0.000  822.203    0.003 ops.py:803(wrapper)
   285125    2.503    0.000  702.874    0.002 ops.py:749(na_op)
   241539    1.482    0.000  691.837    0.003 ops.py:727(_comp_method_OBJECT_ARRAY)
   241539  637.092    0.003  688.521    0.003 {pandas.lib.scalar_compare}
    59188    1.576    0.000  672.243    0.011 tweetProcessor.py:292(correct)
     3124    0.201    0.000  634.273    0.203 tweetProcessor.py:172(translate_online)
     3076    0.023    0.000  557.033    0.181 request.py:140(urlopen)
     3076    0.082    0.000  557.010    0.181 request.py:508(open)
     3076    0.016    0.000  556.415    0.181 request.py:536(_open)
     6152    0.018    0.000  556.399    0.090 request.py:497(_call_chain)
     3076    0.025    0.000  556.374    0.181 request.py:1345(http_open)
     3076    0.140    0.000  556.349    0.181 request.py:1276(do_open)
     3076    0.107    0.000  550.119    0.179 client.py:1287(getresponse)
     3076    0.108    0.000  549.793    0.179 client.py:290(begin)
     3076    0.123    0.000  547.427    0.178 client.py:257(_read_status)
    46420    0.191    0.000  547.402    0.012 {method 'readline' of '_io.BufferedReader' objects}
     3076    0.034    0.000  547.211    0.178 socket.py:572(readinto)
     3076  547.161    0.178  547.161    0.178 {method 'recv_into' of '_socket.socket' objects}
   118376  461.379    0.004  461.379    0.004 {method 'findall' of '_regex.Pattern' objects}
  1696032    9.216    0.000  397.528    0.000 __init__.py:1414(_log)
        2    0.303    0.151  395.652  197.826 groupby.py:633(apply)
        2    0.002    0.001  395.349  197.675 groupby.py:696(_python_apply_general)
  3477510    9.841    0.000  327.390    0.000 __init__.py:1279(debug)
        2    0.260    0.130  324.117  162.059 groupby.py:1585(apply)
   118376    5.021    0.000  302.264    0.003 tweetProcessor.py:240(tag)
   118376   16.738    0.000  293.802    0.002 treetaggerwrapper.py:1240(tag_text)
   724628    9.289    0.000  283.613    0.000 frame.py:2035(__getitem__)
  1696032    4.906    0.000  277.652    0.000 __init__.py:1439(handle)
  1696032   12.705    0.000  270.917    0.000 __init__.py:1493(callHandlers)
  1696086    7.665    0.000  258.212    0.000 __init__.py:845(handle)
        2    0.000    0.000  254.853  127.426 groupby.py:4054(fast_apply)
        2    0.524    0.262  254.493  127.247 {pandas.lib.apply_frame_axis0}
  1182525   20.014    0.000  253.549    0.000 series.py:135(__init__)
  1696038    6.475    0.000  242.462    0.000 handlers.py:63(emit)
    21793    0.059    0.000  238.196    0.011 <string>:6(<lambda>)
    21793    1.257    0.000  238.137    0.011 <ipython-input-10-11ad5caad0fb>:9(propagate_score)
   241542    3.624    0.000  226.897    0.001 frame.py:2078(_getitem_array)
   241545    6.177    0.000  197.528    0.001 generic.py:1650(take)
    59190    0.653    0.000  162.834    0.003 merge.py:1396(concat)
   241545    6.079    0.000  160.931    0.001 internals.py:3943(take)
  3508239  151.833    0.000  151.833    0.000 {method 'readline' of '_io._IOBase' objects}
