         953714695 function calls (944487953 primitive calls) in 3974.261 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002 3974.272 3974.272 {built-in method builtins.exec}
        1    1.002    1.002 3974.270 3974.270 <string>:2(<module>)
        1    0.532    0.532 3626.630 3626.630 frame.py:4065(apply)
        1    0.914    0.914 3626.097 3626.097 frame.py:4182(_apply_standard)
    68182   11.165    0.000 3591.761    0.053 tweetProcessor.py:65(process)
    68182   14.711    0.000 1780.689    0.026 tweetProcessor.py:395(score)
   323159   13.513    0.000  858.467    0.003 ops.py:803(wrapper)
    68183    1.575    0.000  768.839    0.011 tweetProcessor.py:288(correct)
     4371    0.306    0.000  728.447    0.167 tweetProcessor.py:171(translate_online)
   323159    3.000    0.000  725.746    0.002 ops.py:749(na_op)
   273978    1.688    0.000  712.950    0.003 ops.py:727(_comp_method_OBJECT_ARRAY)
   273978  654.065    0.002  709.380    0.003 {pandas.lib.scalar_compare}
     4274    0.031    0.000  628.158    0.147 request.py:140(urlopen)
     4274    0.094    0.000  628.128    0.147 request.py:508(open)
     4274    0.024    0.000  627.371    0.147 request.py:536(_open)
     8548    0.026    0.000  627.347    0.073 request.py:497(_call_chain)
     4274    0.034    0.000  627.312    0.147 request.py:1345(http_open)
     4274    0.203    0.000  627.277    0.147 request.py:1276(do_open)
     4274    0.082    0.000  620.092    0.145 client.py:1287(getresponse)
     4274    0.188    0.000  619.704    0.145 client.py:290(begin)
     4274    0.208    0.000  616.202    0.144 client.py:257(_read_status)
    64495    0.290    0.000  616.132    0.010 {method 'readline' of '_io.BufferedReader' objects}
     4274    0.051    0.000  615.841    0.144 socket.py:572(readinto)
     4274  615.767    0.144  615.767    0.144 {method 'recv_into' of '_socket.socket' objects}
   136364  500.640    0.004  500.640    0.004 {method 'findall' of '_regex.Pattern' objects}
  2374017   10.763    0.000  473.706    0.000 __init__.py:1414(_log)
  4421649   10.890    0.000  401.229    0.000 __init__.py:1279(debug)
        1    0.349    0.349  346.380  346.380 groupby.py:633(apply)
        1    0.003    0.003  346.029  346.029 groupby.py:696(_python_apply_general)
   136364    5.647    0.000  325.374    0.002 tweetProcessor.py:239(tag)
        1    0.002    0.002  324.293  324.293 groupby.py:1585(apply)
        1    0.001    0.001  324.218  324.218 groupby.py:4054(fast_apply)
  2374017    6.891    0.000  323.990    0.000 __init__.py:1439(handle)
        1    0.677    0.677  323.849  323.849 {pandas.lib.apply_frame_axis0}
   136364   17.692    0.000  315.889    0.002 treetaggerwrapper.py:1240(tag_text)
  2374017   12.749    0.000  314.879    0.000 __init__.py:1493(callHandlers)
   821940    9.788    0.000  307.401    0.000 frame.py:2035(__getitem__)
    24591    0.074    0.000  303.078    0.012 <string>:3(<lambda>)
    24591    1.696    0.000  303.004    0.012 <ipython-input-31-11ad5caad0fb>:9(propagate_score)
  2374124    9.653    0.000  302.130    0.000 __init__.py:845(handle)
  2374026    7.426    0.000  283.213    0.000 handlers.py:63(emit)
   273979    3.819    0.000  245.913    0.001 frame.py:2078(_getitem_array)
   273980    6.632    0.000  214.102    0.001 generic.py:1650(take)
  1041997   16.948    0.000  189.705    0.000 series.py:135(__init__)
    68182    5.664    0.000  185.783    0.003 tweetProcessor.py:133(find_relevant_words)
   273980    6.060    0.000  174.255    0.001 internals.py:3943(take)
  4039578  161.308    0.000  161.308    0.000 {method 'readline' of '_io._IOBase' objects}
   366754    4.148    0.000  154.297    0.000 internals.py:3813(reindex_indexer)
  2374026    3.474    0.000  144.169    0.000 __init__.py:1056(emit)
  2374124    8.573    0.000  141.192    0.000 __init__.py:975(emit)
   538891    5.069    0.000  139.659    0.000 frame.py:252(__init__)
  4748150    6.344    0.000  135.823    0.000 __init__.py:822(format)
  2374026   14.072    0.000  130.877    0.000 handlers.py:177(shouldRollover)
  4748150   21.393    0.000  129.466    0.000 __init__.py:557(format)
    68183    0.736    0.000  126.887    0.002 merge.py:1396(concat)
    49180    1.069    0.000  123.437    0.003 frame.py:3852(first_valid_index)
   613638    4.603    0.000  109.422    0.000 series.py:600(__getitem__)
  2374017    7.528    0.000  107.611    0.000 __init__.py:1399(makeRecord)
    68182    0.589    0.000  106.148    0.002 series.py:1530(append)
  2374017   49.481    0.000  100.083    0.000 __init__.py:246(__init__)
    49180    1.233    0.000   97.562    0.002 frame.py:4846(count)
   452414    2.350    0.000   96.512    0.000 __init__.py:1291(info)
145608427/145608279   64.604    0.000   96.055    0.000 {built-in method builtins.isinstance}
   665331    6.739    0.000   93.900    0.000 internals.py:1001(take_nd)
     4273    0.227    0.000   92.005    0.022 __init__.py:87(__init__)
     4273    0.035    0.000   91.439    0.021 __init__.py:285(_feed)
     4273    0.095    0.000   91.399    0.021 _html5lib.py:61(feed)
   927633   16.777    0.000   90.401    0.000 algorithms.py:1010(take_nd)
     4273    0.038    0.000   83.895    0.020 html5parser.py:223(parse)
     4273    0.067    0.000   83.855    0.020 html5parser.py:80(_parse)
    68183    3.342    0.000   83.016    0.001 merge.py:1460(__init__)
   273981    1.995    0.000   82.518    0.000 internals.py:3848(<listcomp>)
   136364    5.443    0.000   80.846    0.001 treetaggerwrapper.py:1454(_prepare_text)
     4273    3.424    0.001   79.787    0.019 html5parser.py:152(mainLoop)
   749010    8.518    0.000   78.676    0.000 series.py:2817(_sanitize_array)
804779/600232   16.356    0.000   78.181    0.000 base.py:142(__new__)
   160954    2.659    0.000   75.920    0.000 generic.py:2224(reindex)
    92772    0.710    0.000   75.222    0.001 frame.py:5391(_arrays_to_mgr)
   538891    5.442    0.000   73.960    0.000 internals.py:2745(__init__)
  2374124    9.322    0.000   72.354    0.000 __init__.py:964(flush)
  4748052   19.459    0.000   72.308    0.000 __init__.py:490(formatTime)
 16203751   28.120    0.000   72.090    0.000 dtypes.py:74(is_dtype)
    68182    0.950    0.000   71.971    0.001 series.py:646(_get_with)
    68182    0.355    0.000   66.721    0.001 indexing.py:74(__getitem__)
    68183    1.169    0.000   66.597    0.001 frame.py:349(_init_dict)
    68182    0.664    0.000   66.292    0.001 indexing.py:999(_getitem_axis)
    68182    1.646    0.000   61.989    0.001 indexing.py:1034(_getitem_iterable)
    49180    0.266    0.000   61.501    0.001 missing.py:186(notnull)
   122951    2.870    0.000   60.383    0.000 internals.py:2978(apply)
852971/656251    1.043    0.000   56.144    0.000 missing.py:27(isnull)
852971/656251    2.785    0.000   55.283    0.000 missing.py:48(_isnull_new)
  2374026   54.471    0.000   54.471    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
   273978    3.290    0.000   54.185    0.000 <frozen importlib._bootstrap>:958(_find_and_load)
   749010    4.197    0.000   53.501    0.000 series.py:2834(_try_cast)
    68182    0.509    0.000   51.811    0.001 tweetProcessor.py:383(remove_emojis)
   136363    0.762    0.000   49.743    0.000 series.py:2360(reindex)
   612664   19.595    0.000   47.721    0.000 internals.py:2841(_rebuild_blknos_and_blklocs)
122950/73770    0.892    0.000   47.557    0.001 indexing.py:1302(__getitem__)
  7601244    7.690    0.000   47.525    0.000 common.py:102(is_categorical_dtype)
  2180149   13.637    0.000   47.389    0.000 internals.py:2649(make_block)
    24591    0.082    0.000   46.777    0.002 frame.py:4437(join)
    24591    0.283    0.000   46.695    0.002 frame.py:4557(_join_compat)
    68182    2.286    0.000   46.661    0.001 tweetProcessor.py:145(filter_words_only)
    24591    0.211    0.000   46.268    0.002 merge.py:53(merge)
    24591    0.753    0.000   45.120    0.002 merge.py:545(get_result)
  1389956   42.895    0.000   44.611    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
   189166   16.481    0.000   44.510    0.000 treetaggerwrapper.py:1593(_prepare_part)
    92772    0.893    0.000   44.441    0.000 internals.py:4259(create_block_manager_from_arrays)
    68182    0.388    0.000   44.075    0.001 series.py:2376(reindex_axis)
