         7589360063 function calls (7481158152 primitive calls) in 17667.493 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.005    0.005 17667.493 17667.493 {built-in method builtins.exec}
        1   10.390   10.390 17667.488 17667.488 <string>:2(<module>)
        6    8.610    1.435 14525.558 2420.926 frame.py:4065(apply)
        6   12.967    2.161 14516.947 2419.491 frame.py:4182(_apply_standard)
   604342   90.770    0.000 13050.239    0.022 tweetProcessor.py:65(process)
   604342   61.293    0.000 6836.312    0.011 tweetProcessor.py:399(score)
        6    4.398    0.733 3049.276  508.213 groupby.py:633(apply)
        6    0.017    0.003 3044.874  507.479 groupby.py:696(_python_apply_general)
  1208684   44.216    0.000 2660.955    0.002 tweetProcessor.py:240(tag)
   604342 2588.454    0.004 2588.454    0.004 {method 'findall' of '_regex.Pattern' objects}
  1208684  141.934    0.000 2587.402    0.002 treetaggerwrapper.py:1240(tag_text)
        6    1.683    0.281 2443.014  407.169 groupby.py:1585(apply)
        6    0.000    0.000 1976.729  329.455 groupby.py:4054(fast_apply)
        6    4.226    0.704 1972.268  328.711 {pandas.lib.apply_frame_axis0}
   179433    0.362    0.000 1847.105    0.010 <string>:22(<lambda>)
   179433    9.678    0.000 1846.743    0.010 <ipython-input-2-11ad5caad0fb>:9(propagate_score)
   656194   48.356    0.000 1575.962    0.002 groupby.py:3872(count)
  9013071  120.758    0.000 1487.418    0.000 series.py:135(__init__)
 35445533 1364.432    0.000 1364.432    0.000 {method 'readline' of '_io._IOBase' objects}
   604357    5.704    0.000 1341.598    0.002 merge.py:1396(concat)
  3729804   39.444    0.000 1238.110    0.000 frame.py:2035(__getitem__)
  1208684   19.350    0.000 1145.345    0.001 series.py:2440(isin)
 16035952   62.470    0.000 1099.359    0.000 series.py:600(__getitem__)
  5471346   39.881    0.000 1084.387    0.000 frame.py:252(__init__)
  2892872   34.945    0.000 1070.520    0.000 generic.py:2224(reindex)
  2648683   27.951    0.000 1017.672    0.000 internals.py:3813(reindex_indexer)
  1208684   17.182    0.000  973.212    0.001 algorithms.py:115(isin)
  1208696   17.219    0.000  958.963    0.001 frame.py:2078(_getitem_array)
  1208684    6.580    0.000  924.118    0.001 algorithms.py:161(<lambda>)
  1208684  917.537    0.001  917.537    0.001 {pandas.lib.ismember}
   848567   31.493    0.000  869.465    0.001 tweetProcessor.py:263(candidate_reference)
  3999533   17.364    0.000  861.449    0.000 __init__.py:1291(info)
